team_id,gw,position,multiplier,player_id,web_name
44922,19,1,1,559,Ramsdale
44922,19,2,1,127,Rüdiger
44922,19,3,1,122,Alonso
44922,19,4,1,67,White
44922,19,5,1,256,Cancelo
44922,19,6,1,359,Son
44922,19,7,2,558,Ødegaard
44922,19,8,1,144,Gallagher
44922,19,9,1,261,Bernardo
44922,19,10,1,315,Pukki
44922,19,11,1,40,Watkins
44922,19,12,0,146,Guaita
44922,19,13,0,450,Dennis
44922,19,14,0,237,Alexander-Arnold
44922,19,15,0,240,Jota
44922,20,1,1,270,de Gea
44922,20,2,1,237,Alexander-Arnold
44922,20,3,1,370,Reguilón
44922,20,4,1,256,Cancelo
44922,20,5,1,162,Mitchell
44922,20,6,1,150,Kouyaté
44922,20,7,1,359,Son
44922,20,8,2,233,Salah
44922,20,9,1,240,Jota
44922,20,10,1,251,De Bruyne
44922,20,11,1,450,Dennis
44922,20,12,0,593,Carson
44922,20,13,0,144,Gallagher
44922,20,14,0,472,Cucho
44922,20,15,0,520,Scarlett
44922,21,1,1,408,Fabianski
44922,21,2,1,237,Alexander-Arnold
44922,21,3,1,429,Coady
44922,21,4,1,256,Cancelo
44922,21,5,1,370,Reguilón
44922,21,6,1,359,Son
44922,21,7,1,261,Bernardo
44922,21,8,1,240,Jota
44922,21,9,1,420,Bowen
44922,21,10,1,468,King
44922,21,11,2,413,Antonio
44922,21,12,0,146,Guaita
44922,21,13,0,40,Watkins
44922,21,14,0,138,Mount
44922,21,15,0,122,Alonso
44922,22,1,1,408,Fabianski
44922,22,2,1,237,Alexander-Arnold
44922,22,3,1,122,Alonso
44922,22,4,2,370,Reguilón
44922,22,5,1,212,Maddison
44922,22,6,1,138,Mount
44922,22,7,1,420,Bowen
44922,22,8,1,240,Jota
44922,22,9,1,586,Edouard
44922,22,10,1,413,Antonio
44922,22,11,1,468,King
44922,22,12,0,146,Guaita
44922,22,13,0,256,Cancelo
44922,22,14,0,261,Bernardo
44922,22,15,0,429,Coady
44922,23,1,1,146,Guaita
44922,23,2,1,237,Alexander-Arnold
44922,23,3,1,429,Coady
44922,23,4,1,259,Laporte
44922,23,5,1,256,Cancelo
44922,23,6,1,212,Maddison
44922,23,7,1,681,Coutinho
44922,23,8,1,261,Bernardo
44922,23,9,1,240,Jota
44922,23,10,1,420,Bowen
44922,23,11,2,468,King
44922,23,12,0,408,Fabianski
44922,23,13,0,370,Reguilón
44922,23,14,0,413,Antonio
44922,23,15,0,586,Edouard
44922,24,1,1,146,Guaita
44922,24,2,1,237,Alexander-Arnold
44922,24,3,2,256,Cancelo
44922,24,4,1,259,Laporte
44922,24,5,1,370,Reguilón
44922,24,6,1,681,Coutinho
44922,24,7,1,261,Bernardo
44922,24,8,1,240,Jota
44922,24,9,1,420,Bowen
44922,24,10,1,586,Edouard
44922,24,11,1,413,Antonio
44922,24,12,0,408,Fabianski
44922,24,13,0,468,King
44922,24,14,0,429,Coady
44922,24,15,0,212,Maddison
44922,25,1,1,146,Guaita
44922,25,2,1,237,Alexander-Arnold
44922,25,3,1,429,Coady
44922,25,4,1,370,Reguilón
44922,25,5,1,265,Foden
44922,25,6,1,681,Coutinho
44922,25,7,2,233,Salah
44922,25,8,1,240,Jota
44922,25,9,1,420,Bowen
44922,25,10,1,413,Antonio
44922,25,11,1,586,Edouard
44922,25,12,0,408,Fabianski
44922,25,13,0,259,Laporte
44922,25,14,0,256,Cancelo
44922,25,15,0,468,King
44922,26,1,1,146,Guaita
44922,26,2,3,237,Alexander-Arnold
44922,26,3,1,429,Coady
44922,26,4,1,234,Robertson
44922,26,5,1,256,Cancelo
44922,26,6,1,265,Foden
44922,26,7,1,233,Salah
44922,26,8,1,22,Saka
44922,26,9,1,420,Bowen
44922,26,10,1,468,King
44922,26,11,1,586,Edouard
44922,26,12,0,408,Fabianski
44922,26,13,0,370,Reguilón
44922,26,14,0,681,Coutinho
44922,26,15,0,413,Antonio
44922,27,1,1,270,de Gea
44922,27,2,1,106,Mee
44922,27,3,1,273,Maguire
44922,27,4,1,555,Varane
44922,27,5,1,256,Cancelo
44922,27,6,1,359,Son
44922,27,7,1,255,Sterling
44922,27,8,1,254,Mahrez
44922,27,9,1,357,Kane
44922,27,10,2,700,Weghorst
44922,27,11,1,63,Maupay
44922,27,12,0,637,Lewis
44922,27,13,0,342,Walker-Peters
44922,27,14,0,70,Bissouma
44922,27,15,0,282,van de Beek
49759,1,1,1,69,Sánchez
49759,1,2,1,245,Tsimikas
49759,1,3,1,275,Shaw
49759,1,4,1,237,Alexander-Arnold
49759,1,5,2,233,Salah
49759,1,6,1,277,Fernandes
49759,1,7,1,215,Barnes
49759,1,8,1,289,Greenwood
49759,1,9,1,413,Antonio
49759,1,10,1,78,Toney
49759,1,11,1,337,Ings
49759,1,12,0,54,Steele
49759,1,13,0,115,Brownhill
49759,1,14,0,67,White
49759,1,15,0,185,Ayling
49759,2,1,1,69,Sánchez
49759,2,2,1,245,Tsimikas
49759,2,3,1,275,Shaw
49759,2,4,1,237,Alexander-Arnold
49759,2,5,2,233,Salah
49759,2,6,1,277,Fernandes
49759,2,7,1,215,Barnes
49759,2,8,1,289,Greenwood
49759,2,9,1,413,Antonio
49759,2,10,1,78,Toney
49759,2,11,1,337,Ings
49759,2,12,0,54,Steele
49759,2,13,0,185,Ayling
49759,2,14,0,67,White
49759,2,15,0,115,Brownhill
49759,3,1,1,69,Sánchez
49759,3,2,1,185,Ayling
49759,3,3,1,275,Shaw
49759,3,4,1,237,Alexander-Arnold
49759,3,5,1,233,Salah
49759,3,6,2,277,Fernandes
49759,3,7,1,215,Barnes
49759,3,8,1,289,Greenwood
49759,3,9,1,413,Antonio
49759,3,10,1,78,Toney
49759,3,11,1,337,Ings
49759,3,12,0,54,Steele
49759,3,13,0,491,Livramento
49759,3,14,0,115,Brownhill
49759,3,15,0,67,White
49759,4,1,1,69,Sánchez
49759,4,2,1,67,White
49759,4,3,1,275,Shaw
49759,4,4,1,237,Alexander-Arnold
49759,4,5,2,233,Salah
49759,4,6,1,277,Fernandes
49759,4,7,1,240,Jota
49759,4,8,1,289,Greenwood
49759,4,9,1,413,Antonio
49759,4,10,1,450,Dennis
49759,4,11,1,337,Ings
49759,4,12,0,54,Steele
49759,4,13,0,491,Livramento
49759,4,14,0,115,Brownhill
49759,4,15,0,185,Ayling
49759,5,1,1,69,Sánchez
49759,5,2,1,185,Ayling
49759,5,3,1,67,White
49759,5,4,1,275,Shaw
49759,5,5,1,491,Livramento
49759,5,6,1,240,Jota
49759,5,7,1,233,Salah
49759,5,8,1,196,Raphinha
49759,5,9,1,289,Greenwood
49759,5,10,1,450,Dennis
49759,5,11,2,529,Lukaku
49759,5,12,0,54,Steele
49759,5,13,0,237,Alexander-Arnold
49759,5,14,0,115,Brownhill
49759,5,15,0,413,Antonio
49759,6,1,1,69,Sánchez
49759,6,2,1,275,Shaw
49759,6,3,1,237,Alexander-Arnold
49759,6,4,1,491,Livramento
49759,6,5,2,233,Salah
49759,6,6,1,240,Jota
49759,6,7,1,289,Greenwood
49759,6,8,1,196,Raphinha
49759,6,9,1,450,Dennis
49759,6,10,1,529,Lukaku
49759,6,11,1,413,Antonio
49759,6,12,0,54,Steele
49759,6,13,0,67,White
49759,6,14,0,115,Brownhill
49759,6,15,0,185,Ayling
49759,7,1,1,69,Sánchez
49759,7,2,1,67,White
49759,7,3,1,127,Rüdiger
49759,7,4,1,119,Azpilicueta
49759,7,5,1,240,Jota
49759,7,6,1,233,Salah
49759,7,7,1,196,Raphinha
49759,7,8,1,289,Greenwood
49759,7,9,1,450,Dennis
49759,7,10,1,413,Antonio
49759,7,11,2,529,Lukaku
49759,7,12,0,54,Steele
49759,7,13,0,237,Alexander-Arnold
49759,7,14,0,115,Brownhill
49759,7,15,0,491,Livramento
49759,8,1,1,69,Sánchez
49759,8,2,1,119,Azpilicueta
49759,8,3,1,67,White
49759,8,4,1,237,Alexander-Arnold
