chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,242166,0,0,0,0,0,3,0.0,0.0,0,Mattéo,0.0,25,False,Season long loan to Marseille,2021-07-08 07:32:22.717852,45,242166.jpg,0.0,Guendouzi,0.0,u,1,3,0,0,0,127,0,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,630,244,627,244,610,241,632,244,,,,,,,,0.0,-0.4444444444444444
100.0,0.0,444145,0,0,-2,2,1,3,0.0,0.0,2,Gabriel Teodoro,0.7,26,False,,2022-02-10 23:30:16.705628,53,444145.jpg,3.9,Martinelli Silva,2.6,a,1,3,62,1068567,2253,846870,15669,0.1,11.7,Martinelli,1005,4,3,6,10,0,0,0,1,1,0,3,179,245.0,241.3,361.0,84.7,199,73,109,73,70,40,104,62,2.0,,,,,,5.552238805970149,0.7358490566037736,0.3584905660377358
0.0,0.0,462424,0,0,0,0,0,2,0.0,0.0,0,William,0.0,27,False,Joined Marseille on loan for 2021/22. - Expected back 23 May,2021-07-15 17:30:06.383244,45,462424.jpg,0.0,Saliba,0.0,u,1,3,0,0,0,183,0,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,649,236,645,236,630,234,650,236,,,,,,,,0.0,-0.4444444444444444
100.0,100.0,198869,0,0,0,0,0,2,0.0,8.4,4,Ben,3.7,67,False,,2021-10-26 22:00:11.817982,45,198869.jpg,4.0,White,13.1,a,1,3,87,1283181,12171,1914171,36594,0.8,19.3,White,1970,0,0,11,20,0,0,0,1,0,0,7,414,401.6,142.4,96.0,64.0,81,33,183,43,245,67,169,46,,,,,,,3.9746192893401013,0.8888888888888888,0.4444444444444444
,,437626,0,0,-2,2,1,2,0.0,1.0,0,Nuno,0.0,466,False,,,43,437626.jpg,2.4,Varela Tavares,0.4,a,1,3,31,104340,129,106652,856,0.0,7.2,Tavares,619,0,1,3,10,0,0,0,1,0,0,2,128,110.8,94.1,122.0,32.7,336,129,233,61,209,50,294,96,,,,,,,4.507269789983845,0.5581395348837209,0.09302325581395347
100.0,100.0,437742,0,0,-2,2,0,3,0.0,1.0,0,Albert,0.0,478,False,,2021-12-18 22:30:10.850943,48,437742.jpg,1.9,Sambi Lokonga,0.1,a,1,3,26,21403,31,32798,121,0.0,5.4,Sambi Lokonga,906,0,0,7,8,0,0,0,4,0,0,0,141,152.8,194.8,75.0,42.4,287,120,144,89,277,144,251,116,,,,,,,2.5827814569536423,0.3958333333333333,-0.020833333333333353
0.0,0.0,232223,0,0,-3,3,0,4,0.0,0.0,0,Folarin,0.0,530,False,Joined Middlesbrough on loan until the end of the season,2022-01-10 00:00:13.526321,47,232223.jpg,1.0,Balogun,0.3,u,1,3,2,62383,0,79838,361,0.0,0.4,Balogun,69,0,0,0,1,0,0,0,0,0,0,0,2,4.2,3.7,17.0,1.9,473,57,429,59,382,58,467,59,,,,,,,2.608695652173913,0.2127659574468085,-0.2127659574468085
0.0,0.0,200641,0,0,0,0,0,3,0.0,0.0,0,Reiss,0.0,531,False,Joined Feyenoord on a season-long loan - Expected back 01 Jul,2021-08-31 17:00:07.058892,50,200641.jpg,1.0,Nelson,0.0,u,1,3,1,468,0,1065,1,0.0,0.2,Nelson,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,475,205,403,195,372,181,443,195,,,,,,,4.7368421052631575,0.2,-0.2
0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,532,False,Joined Reading on loan until the end of the season - Expected back 01 Jul,2022-01-24 22:30:12.592957,40,463748.jpg,0.0,Hein,0.4,u,1,3,0,50944,0,39473,480,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,547,66,535,45,497,32,551,66,,,,,,,,0.0,-0.5
100.0,100.0,184029,0,0,0,0,2,3,0.0,5.6,4,Martin,2.3,558,False,,2022-01-13 23:00:14.935017,55,184029.jpg,3.7,Ødegaard,4.1,a,1,3,82,1046203,5703,728781,26200,0.4,14.9,Ødegaard,1542,4,3,9,18,0,0,0,2,0,0,6,325,378.8,563.6,343.0,128.5,93,35,11,9,76,44,36,23,5.0,,1.0,,,,4.785992217898833,0.6727272727272727,0.30909090909090914
