chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,115918,0,0,0,0,0,1,-0.5,0.5,0,Rúnar Alex,0.0,547,False,,,45,115918.jpg,0.0,Rúnarsson,0.0,False,,a,1,3,0,623,248,298,169,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450,55,439,39,399,37,455,55,,,,,,
,,167199,0,0,0,0,0,3,1.0,2.0,0,Thomas,0.0,567,False,,,50,167199.jpg,0.0,Partey,0.4,False,,a,1,3,0,24578,24578,2516,2516,0.0,0.0,Partey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,521,208,517,209,505,200,525,208,,,,,,
,,98980,1,-1,2,-2,0,1,6.8,6.3,3,Emiliano,7.3,12,True,,,47,98980.jpg,7.3,Martínez,19.0,False,,a,2,7,22,1011070,343799,191463,28911,1.6,4.7,Martínez,270,0,0,2,2,0,1,0,0,0,9,2,86,93.2,0.0,0.0,9.3,50,5,465,44,433,43,160,6,,,,,,
0.0,0.0,21205,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,28,False,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.1,False,,i,2,7,0,701,207,1854,353,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,433,48,417,28,377,26,438,48,,,,,,
,,37339,-1,1,-1,1,0,2,-0.2,-0.7,1,Ahmed,0.3,29,False,,,44,37339.jpg,1.0,El Mohamady,0.4,False,,a,2,7,1,5473,782,15254,2492,0.1,0.2,El Mohamady,10,0,0,0,0,0,0,0,0,0,0,0,4,3.6,11.1,2.0,1.7,323,121,222,67,263,89,319,118,,,,,,
,,40564,0,0,0,0,0,3,-0.5,-1.0,0,Henri,0.0,30,False,,,45,40564.jpg,0.0,Lansbury,0.2,False,,a,2,7,0,3175,246,8051,1473,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,436,172,421,173,381,151,441,172,,,,,,
,,47390,-1,1,-1,1,0,2,-0.5,-1.0,0,Neil,0.0,31,False,,,44,47390.jpg,0.0,Taylor,0.3,False,,a,2,7,0,6884,760,13403,2063,0.0,0.0,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,396,152,379,151,335,132,401,152,,,,,,
,,79852,0,0,0,0,0,1,-0.5,-1.0,0,Jed,0.0,32,False,,,40,79852.jpg,0.0,Steer,5.5,False,,a,2,7,0,116197,32073,85327,24519,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,363,30,347,9,296,7,368,30,,,,,,
,,85242,0,0,0,0,1,3,5.2,4.7,0,Conor,5.7,33,False,,,60,85242.jpg,8.5,Hourihane,0.3,False,,a,2,7,17,20496,2406,9850,5116,1.0,2.8,Hourihane,137,1,1,2,0,0,0,0,0,0,0,3,57,62.2,77.7,23.0,16.3,107,40,34,26,159,85,74,42,1.0,,1.0,,,
0.0,,89274,0,0,-1,1,0,3,0.0,-1.0,0,José Ignacio,0.0,34,False,Contract ended,2020-10-05T07:17:10.828418Z,59,89274.jpg,0.0,Peleteiro Romallo,0.1,False,,u,2,7,0,1334,162,5249,1326,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,557,226,558,227,556,225,559,226,,,,,,
0.0,,98770,0,0,0,0,0,1,0.0,-1.0,0,Ørjan,0.0,35,False,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,98770.jpg,0.0,Nyland,12.4,False,,u,2,7,0,141932,8675,320908,114665,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,365,31,349,10,298,8,370,31,,,,,,
0.0,0.0,108156,0,0,-1,1,0,2,0.0,0.0,0,Bjorn,0.0,36,False,Thigh injury - Unknown return date,2020-09-18T10:00:08.441455Z,44,108156.jpg,0.0,Engels,0.1,False,,i,2,7,0,10032,34,15728,572,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,407,157,390,156,348,139,412,157,,,,,,
,,114283,1,-1,1,-1,1,3,11.2,10.7,24,Jack,11.7,37,True,,,71,114283.jpg,11.7,Grealish,16.7,False,,a,2,7,35,656176,494775,265905,47813,1.6,4.9,Grealish,270,3,3,2,2,0,0,0,0,0,0,3,129,183.8,120.3,170.0,47.4,5,3,12,8,10,5,5,3,3.0,,7.0,,3.0,
,,122806,0,0,0,0,0,3,6.8,6.3,10,John,7.3,38,False,,,55,122806.jpg,7.3,McGinn,1.2,False,,a,2,7,22,64512,39848,25316,11131,1.3,4.0,McGinn,270,1,3,2,2,0,0,0,2,0,0,2,87,117.0,106.1,61.0,28.4,25,10,18,12,60,32,24,12,4.0,,6.0,,,
75.0,75.0,123354,-1,1,-1,1,0,2,-0.4,-0.8,0,Kortney,0.0,39,False,Muscle injury - 75% chance of playing,2020-10-01T22:30:14.186065Z,44,123354.jpg,0.0,Hause,0.1,False,,d,2,7,0,588,37,2892,649,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,409,158,392,157,351,141,414,158,,,,,,
,,148508,0,0,0,0,0,3,3.2,2.7,5,Mahmoud Ahmed,3.7,40,False,,,55,148508.jpg,3.7,Ibrahim Hassan,1.1,False,,a,2,7,11,27066,5407,49716,9396,0.7,2.0,Trézéguet,259,0,1,2,2,0,0,0,0,0,0,0,55,58.4,79.3,58.0,19.5,118,45,31,23,62,33,53,31,,,3.0,,,
,,149484,1,-1,1,-1,2,2,7.2,6.7,1,Tyrone,7.7,41,False,,,51,149484.jpg,7.7,Mings,5.5,False,,a,2,7,23,274816,121691,67381,28997,1.5,4.5,Mings,270,1,1,2,2,0,0,0,1,0,0,2,82,117.4,13.2,42.0,17.4,23,4,203,57,94,15,65,11,,,,,,
