h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.0267,1.82051,1.0267,1.82051,"{'att': 225, 'def': 25}","{'att': 306, 'def': 14}",18,4,0,1,0.715,l,2022-02-19 15:00:00,0,0,1,0,-0.7938100000000001
a,1.3027,0.627107,1.3027,0.627107,"{'att': 334, 'def': 20}","{'att': 157, 'def': 25}",4,5,2,0,2.0098,w,2022-02-26 15:30:00,1,0,0,3,0.675593
h,1.88818,1.02385,1.88818,1.02385,"{'att': 290, 'def': 18}","{'att': 127, 'def': 22}",7,10,2,0,2.1154,w,2021-08-13 19:00:00,1,0,0,3,0.86433
a,0.712439,0.606313,0.712439,0.606313,"{'att': 237, 'def': 29}","{'att': 184, 'def': 20}",6,5,0,0,1.3954,d,2021-08-21 14:00:00,0,1,0,1,0.106126
a,1.13312,0.431464,1.13312,0.431464,"{'att': 199, 'def': 24}","{'att': 264, 'def': 20}",8,2,1,1,2.0072,d,2021-08-28 14:00:00,0,1,0,1,0.7016559999999998
h,0.729786,0.287902,0.729786,0.287902,"{'att': 243, 'def': 24}","{'att': 172, 'def': 26}",3,6,0,1,1.7654,l,2021-09-11 14:00:00,0,0,1,0,0.441884
a,2.32741,1.02316,1.56627,1.02316,"{'att': 248, 'def': 23}","{'att': 176, 'def': 14}",3,4,2,0,2.4119,w,2021-09-18 11:30:00,1,0,0,3,0.54311
h,2.94058,2.25736,2.94058,2.25736,"{'att': 237, 'def': 10}","{'att': 114, 'def': 17}",4,12,3,3,1.8647,d,2021-09-25 16:30:00,0,1,0,1,0.6832200000000004
a,1.30098,1.37258,1.30098,1.37258,"{'att': 188, 'def': 14}","{'att': 132, 'def': 22}",1,8,2,1,1.3241999999999998,w,2021-10-03 13:00:00,1,0,0,3,-0.0715999999999998
h,1.62169,0.248256,1.62169,0.248256,"{'att': 271, 'def': 19}","{'att': 208, 'def': 15}",16,8,0,1,2.5013,l,2021-10-16 16:30:00,0,0,1,0,1.373434
h,1.16789,1.00254,1.16789,1.00254,"{'att': 216, 'def': 37}","{'att': 256, 'def': 12}",7,5,1,2,1.4952,l,2021-10-24 13:00:00,0,0,1,0,0.1653500000000001
a,0.834312,2.72901,0.834312,2.72901,"{'att': 175, 'def': 19}","{'att': 309, 'def': 19}",2,2,1,3,0.2717,l,2021-10-30 14:00:00,0,0,1,0,-1.894698
h,2.79229,1.15797,2.79229,0.396837,"{'att': 156, 'def': 23}","{'att': 265, 'def': 18}",11,4,1,2,2.503,l,2021-11-06 15:00:00,0,0,1,0,2.395453
a,1.23275,2.18388,1.23275,2.18388,"{'att': 153, 'def': 20}","{'att': 154, 'def': 20}",6,8,3,3,0.7258,d,2021-11-20 15:00:00,0,1,0,1,-0.9511299999999998
h,1.19813,0.968075,0.436957,0.968075,"{'att': 251, 'def': 19}","{'att': 202, 'def': 29}",3,9,1,0,1.5935,w,2021-11-28 14:00:00,1,0,0,3,-0.531118
a,0.225492,2.07248,0.225492,2.07248,"{'att': 253, 'def': 16}","{'att': 315, 'def': 18}",7,6,0,2,0.1308,l,2021-12-02 19:30:00,0,0,1,0,-1.846988
a,1.19959,1.41896,1.19959,1.41896,"{'att': 255, 'def': 23}","{'att': 134, 'def': 28}",5,7,2,2,1.1591,d,2021-12-05 14:00:00,0,1,0,1,-0.21937
h,1.82799,0.561554,1.06682,0.561554,"{'att': 119, 'def': 29}","{'att': 235, 'def': 23}",6,2,2,1,2.4263,w,2021-12-10 20:00:00,1,0,0,3,0.5052660000000001
a,1.10342,0.943363,1.10342,0.943363,"{'att': 240, 'def': 19}","{'att': 258, 'def': 25}",7,7,0,2,1.495,l,2021-12-26 20:00:00,0,0,1,0,0.1600570000000001
h,0.238829,1.01763,0.238829,1.01763,"{'att': 288, 'def': 22}","{'att': 112, 'def': 22}",3,6,0,1,0.496,l,2021-12-29 20:15:00,0,0,1,0,-0.7788010000000001
h,0.501329,1.13821,0.501329,1.13821,"{'att': 243, 'def': 30}","{'att': 220, 'def': 17}",4,6,2,1,0.7686,w,2022-01-02 14:00:00,1,0,0,3,-0.6368809999999999
a,0.621466,1.59306,0.621466,1.59306,"{'att': 176, 'def': 18}","{'att': 223, 'def': 26}",3,1,1,4,0.5670000000000001,l,2022-01-11 21:45:00,0,0,1,0,-0.971594
a,0.376656,3.49099,0.376656,3.49099,"{'att': 303, 'def': 20}","{'att': 150, 'def': 17}",5,11,0,3,0.061,l,2022-01-16 14:00:00,0,0,1,0,-3.114334
h,2.081,2.05969,2.081,2.05969,"{'att': 263, 'def': 25}","{'att': 193, 'def': 16}",8,6,1,3,1.3774000000000002,l,2022-01-19 20:00:00,0,0,1,0,0.0213100000000001
h,0.742573,0.218211,0.742573,0.218211,"{'att': 232, 'def': 23}","{'att': 239, 'def': 15}",6,2,1,2,1.8159,l,2022-01-22 15:00:00,0,0,1,0,0.524362
a,0.461305,1.98246,0.461305,1.22129,"{'att': 280, 'def': 17}","{'att': 104, 'def': 20}",3,11,0,2,0.2941,l,2022-02-09 19:45:00,0,0,1,0,-0.7599849999999999
h,1.97576,0.49802,1.97576,0.49802,"{'att': 227, 'def': 25}","{'att': 171, 'def': 30}",7,5,0,0,2.5614,d,2022-02-12 15:00:00,0,1,0,1,1.4777399999999998
a,0.640726,1.52247,0.640726,1.52247,"{'att': 241, 'def': 10}","{'att': 168, 'def': 23}",4,3,1,2,0.6603999999999999,l,2022-02-19 15:00:00,0,0,1,0,-0.881744
