chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
,,168399,0,0,-1,1,0,1,-1.5,-1.5,0,Will,0.0,114,False,,,44,168399.jpg,0.0,Norris,0.1,a,5,90,0,5308,93,9921,106,0.0,0.0,Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,575,75,569,62,540,52,578,75,,,,,,,,0.0,-0.4545454545454545,2,BUR,1060,1050,GKP
0.0,0.0,220037,0,0,0,0,0,1,0.0,0.0,0,Bailey,0.0,117,False,Joined Sheffield Wednesday on a season-long loan,2021-07-27 22:30:10.385580,45,220037.jpg,0.0,Peacock-Farrell,0.0,u,5,90,0,0,0,424,2,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,613,79,608,69,589,61,615,79,,,,,,,,0.0,-0.4444444444444444,2,BUR,1060,1050,GKP
100.0,100.0,20066,0,0,0,0,0,1,-1.5,-1.5,0,Wayne,0.0,480,False,,2021-10-28 12:30:12.207343,45,20066.jpg,2.0,Hennessey,0.3,a,5,90,4,21461,214,21447,814,0.0,0.9,Hennessey,180,0,0,0,6,0,0,0,0,0,8,0,37,62.8,30.0,0.0,9.3,375,30,345,1,562,54,399,27,,,,,,,2.0,0.4444444444444444,0.0,2,BUR,1060,1050,GKP
,,109745,0,0,-3,3,0,1,9.0,0.0,0,Kepa,8.0,129,False,,,47,109745.jpg,4.8,Arrizabalaga,0.5,a,6,8,19,63443,915,58272,3723,1.7,4.0,Arrizabalaga,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0.0,9.6,340,26,661,74,647,67,397,26,,,,,,,4.75,1.0212765957446808,0.5957446808510638,5,CHE,1320,1350,GKP
100.0,100.0,228286,0,0,1,-1,0,1,1.0,0.0,0,Edouard,0.0,143,False,,2022-01-01 17:00:18.799751,61,228286.jpg,4.2,Mendy,10.7,a,6,8,83,1362844,8388,1572953,10958,0.0,13.6,Mendy,1800,0,0,8,16,0,0,0,2,0,55,3,360,408.2,0.0,0.0,40.6,64,15,701,82,701,82,248,15,,,,,,,4.15,0.6885245901639345,0.3606557377049181,5,CHE,1320,1350,GKP
,,122074,0,0,0,0,0,1,1.0,0.0,0,Marcus,0.0,606,False,,,40,122074.jpg,0.0,Bettinelli,0.0,a,6,8,0,5739,65,4162,74,0.0,0.0,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,516,54,503,32,463,20,520,54,,,,,,,,0.0,-0.5,5,CHE,1320,1350,GKP
100.0,100.0,40836,0,0,1,-1,0,1,6.1,3.8,6,Vicente,3.3,146,False,,2022-01-14 16:00:20.140703,46,40836.jpg,3.4,Guaita,6.9,a,7,31,71,804945,9505,644350,13856,0.7,15.4,Guaita,1890,0,0,6,29,0,0,0,1,0,57,3,379,424.8,0.0,0.0,42.4,54,14,658,72,642,64,244,14,,,,,,,3.380952380952381,0.7391304347826088,0.3043478260869565,3,CRY,1090,1100,GKP
,,105666,0,0,-1,1,1,1,-0.5,0.5,0,Jack,0.0,156,False,,,44,105666.jpg,4.7,Butland,0.4,a,7,31,14,145266,276,149131,1646,0.0,3.2,Butland,270,0,0,0,6,0,1,0,0,0,9,3,60,91.6,0.0,0.0,9.2,344,27,567,60,537,50,401,28,,,,,,,4.666666666666667,1.068181818181818,0.6136363636363636,3,CRY,1090,1100,GKP
,,169593,0,0,-1,1,0,1,-0.5,0.5,0,Remi,0.0,561,False,,,39,169593.jpg,0.0,Matthews,0.4,a,7,31,0,37222,3801,20104,1023,0.0,0.0,Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,498,44,482,19,441,7,502,44,,,,,,,,0.0,-0.5128205128205129,3,CRY,1090,1100,GKP
100.0,100.0,111234,0,0,-1,1,0,1,4.0,4.0,6,Jordan,4.0,170,False,,2021-09-18 22:30:08.463937,49,111234.jpg,3.0,Pickford,4.4,a,8,11,64,414081,2106,630044,11377,0.8,13.1,Pickford,1890,0,0,4,35,0,0,0,1,0,64,4,358,467.8,23.0,0.0,49.1,38,10,360,4,659,71,218,10,,,,,,,3.047619047619048,0.6122448979591836,0.2040816326530612,3,EVE,1090,1090,GKP
0.0,0.0,222627,0,0,0,0,0,1,0.0,0.0,0,João,0.0,181,False,Joined Sporting Lisbon on a season-long loan - Expected back 01 Jul,2021-08-25 16:30:13.873098,40,222627.jpg,0.0,Virgínia,0.8,u,8,11,0,5871,0,107229,791,0.0,0.0,Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,523,57,510,35,470,23,527,57,,,,,,,,0.0,-0.5,3,EVE,1090,1090,GKP
,,40349,0,0,0,0,0,1,0.0,0.0,0,Asmir,0.0,481,False,,,40,40349.jpg,1.0,Begović,2.6,a,8,11,1,210626,425,184379,4059,0.0,0.2,Begović,90,0,0,0,3,0,0,0,0,0,1,0,9,10.4,0.0,0.0,1.0,454,37,496,26,456,14,475,37,,,,,,,1.0,0.25,-0.25,3,EVE,1090,1090,GKP
,,11948,0,0,0,0,0,1,0.0,0.0,0,Andy,0.0,571,False,,,40,11948.jpg,0.0,Lonergan,0.1,a,8,11,0,6902,22,4755,103,0.0,0.0,Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,510,49,494,24,454,12,514,49,,,,,,,,0.0,-0.5,3,EVE,1090,1090,GKP
,,447325,0,0,0,0,0,1,0.0,0.0,0,Harry,0.0,616,False,,,40,447325.jpg,0.0,Tyrer,0.1,a,8,11,0,6565,28,3451,155,0.0,0.0,Tyrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,538,64,525,42,486,30,542,64,,,,,,,,0.0,-0.5,3,EVE,1090,1090,GKP
100.0,100.0,17745,0,0,-2,2,1,1,2.2,2.2,1,Kasper,2.7,200,False,,2021-12-06 00:00:17.338587,48,17745.jpg,3.1,Schmeichel,12.2,a,9,13,68,925917,4019,1370480,19923,0.6,14.2,Schmeichel,1980,0,0,3,41,0,1,0,1,0,80,5,409,633.2,1.1,0.0,63.6,5,2,441,9,651,69,158,3,,,,,,,3.090909090909091,0.6458333333333334,0.2291666666666666,3,LEI,1160,1190,GKP
100.0,100.0,95463,0,0,0,0,0,1,-0.5,-0.5,0,Danny,0.0,204,False,,2021-12-24 14:00:17.895392,40,95463.jpg,0.0,Ward,3.8,a,9,13,0,236445,441,222909,4120,0.0,0.0,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,513,51,499,28,459,16,517,51,,,,,,,,0.0,-0.5,3,LEI,1160,1190,GKP
,,11974,-1,1,-1,1,0,1,-0.5,-0.5,0,Eldin,0.0,573,False,,,39,11974.jpg,0.0,Jakupovic,0.1,a,9,13,0,9994,915,6517,173,0.0,0.0,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,490,39,473,13,432,1,494,39,,,,,,,,0.0,-0.5128205128205129,3,LEI,1160,1190,GKP
0.0,0.0,39790,0,0,0,0,0,1,0.0,0.0,0,Francisco,0.0,183,False,Joined Elche CF on a season-long loan - Expected back 01 Jul,2021-07-13 10:00:05.132170,45,39790.jpg,0.0,Casilla Cortés,0.0,u,10,2,0,0,0,469,1,0.0,0.0,Casilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,593,77,586,64,564,56,596,77,,,,,,,,0.0,-0.4444444444444444,3,LEE,1090,1100,GKP
,,437495,0,0,-2,2,1,1,2.5,2.0,3,Illan,2.0,199,False,,,48,437495.jpg,2.7,Meslier,2.1,a,10,2,62,182026,1527,322822,4837,0.4,12.9,Meslier,2070,0,0,3,46,0,0,0,2,0,80,4,430,622.6,0.0,0.0,62.1,6,3,665,76,653,70,163,4,,,,,,,2.6956521739130435,0.5625000000000001,0.1458333333333333,3,LEE,1090,1100,GKP
,,223081,0,0,-2,2,0,1,-1.5,0.0,0,Kristoffer,0.0,490,False,,,43,223081.jpg,0.0,Klaesson,0.1,a,10,2,0,5607,59,10967,116,0.0,0.0,Klaesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,570,74,562,57,528,46,574,74,,,,,,,,0.0,-0.4651162790697674,3,LEE,1090,1100,GKP
100.0,100.0,60706,0,0,-2,2,0,1,2.5,1.5,0,Adrián,0.0,223,False,,2021-12-15 13:30:15.854764,43,60706.jpg,0.0,San Miguel del Castillo,0.2,a,11,14,0,8331,32,19139,144,0.0,0.0,Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,566,72,555,52,521,41,570,72,,,,,,,,0.0,-0.4651162790697674,5,LIV,1330,1350,GKP
