player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength,event_name,difficulty
195,13,8,1.0,True,2020-09-19 14:00:00,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.4,0.4,0.0,1.4,45.0,-12336.0,40527.0,844.0,13180.0,4.0,3.0,10,,,,LEE,DEF,3,Liam Cooper,FUL,2,,
197,13,8,1.0,True,2020-09-19 14:00:00,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.8,1.3,0.0,2.0,45.0,21987.0,284510.0,50630.0,28643.0,4.0,3.0,10,,,,LEE,DEF,3,Luke Ayling,FUL,2,,
198,13,8,9.0,True,2020-09-19 14:00:00,2.0,90.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,56.8,16.8,19.0,9.3,55.0,126282.0,245552.0,158316.0,32034.0,4.0,3.0,10,2.0,,1.0,LEE,MID,3,Mateusz Klich,FUL,2,,
200,13,8,1.0,True,2020-09-19 14:00:00,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.2,3.7,4.0,2.9,45.0,58951.0,358887.0,92240.0,33289.0,4.0,3.0,10,,,,LEE,DEF,3,Stuart Dallas,FUL,2,,
201,13,8,1.0,True,2020-09-19 14:00:00,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.4,1.2,19.0,2.6,45.0,-7209.0,40659.0,2193.0,9402.0,4.0,3.0,10,,,,LEE,DEF,3,Ezgjan Alioski,FUL,2,,
202,13,8,14.0,True,2020-09-19 14:00:00,2.0,69.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,50.4,11.9,21.0,8.3,56.0,364945.0,752960.0,429720.0,64775.0,4.0,3.0,10,,,2.0,LEE,FWD,3,Patrick Bamford,FUL,2,,
203,13,8,2.0,True,2020-09-19 14:00:00,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,2.0,12.0,1.5,55.0,158460.0,250466.0,195124.0,36664.0,4.0,3.0,10,3.0,3.0,,LEE,MID,3,Jack Harrison,FUL,2,,
204,13,8,2.0,True,2020-09-19 14:00:00,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.4,33.6,0.0,6.0,50.0,57398.0,245486.0,84308.0,26910.0,4.0,3.0,10,1.0,1.0,,LEE,MID,3,Kalvin Phillips,FUL,2,,
205,13,8,14.0,True,2020-09-19 14:00:00,2.0,90.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,72.6,17.2,36.0,12.6,55.0,20941.0,55531.0,28324.0,7383.0,4.0,3.0,10,,,,LEE,MID,3,Hélder Wander Sousa de Azevedo e Costa,FUL,2,,
206,13,8,1.0,True,2020-09-19 14:00:00,2.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.4,15.2,11.0,3.2,50.0,-417.0,5753.0,574.0,991.0,4.0,3.0,10,,,,LEE,MID,3,Tyler Roberts,FUL,2,,
209,13,8,0.0,True,2020-09-19 14:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-2738.0,19167.0,1095.0,3833.0,4.0,3.0,10,,,,LEE,MID,3,Ian Carlo Poveda-Ocampo,FUL,2,,
210,13,8,0.0,True,2020-09-19 14:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-393.0,3315.0,187.0,580.0,4.0,3.0,10,,,,LEE,MID,3,Jamie Shackleton,FUL,2,,
211,13,8,0.0,True,2020-09-19 14:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32400.0,154537.0,55316.0,22916.0,4.0,3.0,10,,,,LEE,DEF,3,Pascal Struijk,FUL,2,,
213,13,8,2.0,True,2020-09-19 14:00:00,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,22.2,10.0,0.0,3.2,45.0,27672.0,108204.0,40170.0,12498.0,4.0,3.0,10,,,,LEE,GKP,3,Illan Meslier,FUL,2,,
214,13,8,0.0,True,2020-09-19 14:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-7471.0,91425.0,4858.0,12329.0,4.0,3.0,10,,,,LEE,DEF,3,Leif Davis,FUL,2,,
262,46,8,1.0,True,2020-10-18 11:00:00,5.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.3,0.0,0.2,45.0,98573.0,482250.0,175100.0,76527.0,1.0,1.0,15,,,,SHU,FWD,3,Rhian Brewster,FUL,2,,
343,46,8,7.0,True,2020-10-18 11:00:00,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,33.2,0.3,17.0,5.1,58.0,-1828.0,12462.0,465.0,2293.0,1.0,1.0,15,,,1.0,SHU,FWD,3,Billy Sharp,FUL,2,,
344,46,8,2.0,True,2020-10-18 11:00:00,5.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.1,9.0,0.9,54.0,-2816.0,45304.0,8399.0,11215.0,1.0,1.0,15,,,,SHU,FWD,3,David McGoldrick,FUL,2,,
345,46,8,4.0,True,2020-10-18 11:00:00,5.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,28.6,29.6,4.0,6.2,49.0,-7235.0,95073.0,5612.0,12847.0,1.0,1.0,15,,,,SHU,DEF,3,Chris Basham,FUL,2,,
346,46,8,0.0,True,2020-10-18 11:00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,-4871.0,17150.0,396.0,5267.0,1.0,1.0,15,2.0,2.0,,SHU,MID,3,John Fleck,FUL,2,,
347,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.4,2.6,19.0,3.7,54.0,-25491.0,202683.0,5038.0,30529.0,1.0,1.0,15,,,,SHU,DEF,3,Enda Stevens,FUL,2,,
349,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.2,23.3,0.0,4.3,48.0,-4876.0,19361.0,479.0,5355.0,1.0,1.0,15,1.0,1.0,2.0,SHU,MID,3,Oliver Norwood,FUL,2,,
