player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
80,16,14,0.0,False,2020-09-20 13:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,-533,4108,156,689,3,0,3,0.0,0.0,0.0,BHA,MID,3,Alexis Mac Allister,NEW,3
81,36,14,0.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,1,0,0,0,5,24.0,10.5,29.0,6.4,5.4,-43754,217072,1677,45431,1,3,4,0.0,0.0,0.0,BUR,DEF,2,James Tarkowski,NEW,3
82,36,14,1.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,0,0,0,0,10,6.0,1.8,0.0,0.8,4.5,-2642,35951,1198,3840,1,3,4,0.0,0.0,0.0,BUR,DEF,2,Phil Bardsley,NEW,3
83,36,14,0.0,False,2020-10-03 19:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-13830,61630,535,14365,1,3,4,0.0,0.0,0.0,BUR,DEF,2,Erik Pieters,NEW,3
85,36,14,1.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,0,0,0,0,10,6.6,0.0,4.0,1.1,4.5,-445,15833,845,1290,1,3,4,0.0,0.0,0.0,BUR,DEF,2,Kevin Long,NEW,3
86,36,14,0.0,False,2020-10-03 19:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.9,-11960,27220,95,12055,1,3,4,0.0,0.0,0.0,BUR,FWD,2,Jay Rodriguez,NEW,3
87,36,14,1.0,False,2020-10-03 19:00:00,4,76,0,0,0,3,0,0,0,1,0,0,0,1,1.2,27.2,30.0,5.8,6.0,-69,5910,814,883,1,3,4,0.0,0.0,1.0,BUR,FWD,2,Ashley Barnes,NEW,3
88,36,14,0.0,False,2020-10-03 19:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,-2417,13517,76,2493,1,3,4,0.0,0.0,0.0,BUR,DEF,2,Ben Mee,NEW,3
89,36,14,8.0,False,2020-10-03 19:00:00,4,90,1,0,0,3,0,0,0,0,0,0,1,33,42.2,3.7,17.0,6.3,5.5,-4586,45251,1017,5603,1,3,4,1.0,0.0,0.0,BUR,MID,2,Ashley Westwood,NEW,3
90,36,14,1.0,False,2020-10-03 19:00:00,4,22,0,0,0,1,0,0,0,0,0,0,0,3,3.8,1.3,0.0,0.5,5.4,-598,3193,19,617,1,3,4,0.0,0.0,0.0,BUR,MID,2,Johann Berg Gudmundsson,NEW,3
