chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_start,player_type_id,expected_points_next_gw,expected_points_this_gw,event_points,form,player_id,player_news,news_added,player_price,player_photo,points_per_game,selected_by_percent,status,team_id,team_code,total_points,total_transfers_in,transfers_in_event,total_transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,full_name,understat_id,games_played,xG,understat_assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,team_name,team_short_name,team_strength,position_name,position_name_short
,,0,-2,2,0.5,0.5,0,0.0,116,,,4.8,135363.jpg,0.0,0.2,a,5,8,0,8167,222,19886,1058,0.0,0.0,Christensen,315,0,0,0,9,0,0,0,1,1,0,0,41,70.0,4.1,20.0,9.5,194,81,331,116,239,71,270,92,,,,Andreas Christensen,200,4,0.04527710378170013,0,0.0,1,0,0,0.04527710378170013,1.3784126043319702,1.3784126043319702,Chelsea,CHE,4,Defender,DEF
,,-1,-3,2,0.5,0.5,0,0.0,121,,,4.7,194794.jpg,0.0,0.2,a,5,8,0,6193,194,19995,812,0.0,0.0,Tomori,45,0,0,0,2,0,0,0,0,0,0,0,8,26.6,0.1,0.0,2.7,304,122,386,149,502,195,362,132,,,,Fikayo Tomori,703,1,0.0,0,0.0,0,0,0,0.0,0.0727275162935257,0.0727275162935257,Chelsea,CHE,4,Defender,DEF
,,0,0,2,5.8,5.8,2,5.3,123,,,5.0,225796.jpg,4.7,12.3,a,5,8,33,1141209,50316,793425,35607,1.1,6.6,James,543,1,1,2,8,0,0,0,1,0,0,6,158,181.4,161.2,65.0,41.0,36,10,26,6,123,21,41,5,4.0,5.0,,Reece James,8067,7,0.1743212193250656,1,0.9663016572594644,6,9,1,0.1743212193250656,2.2616792144253846,2.0738954292610288,Chelsea,CHE,4,Defender,DEF
100.0,100.0,1,5,2,7.2,7.2,8,6.7,232,,2020-11-15 22:30:17.770174,6.0,172850.jpg,8.2,28.3,a,5,8,41,2149720,273264,266437,51279,1.1,6.8,Chilwell,450,2,2,3,4,0,0,0,1,0,0,3,159,200.0,178.8,127.0,50.7,26,6,21,4,51,3,27,1,3.0,,,Benjamin Chilwell,782,5,0.9634217619895936,2,0.5391880609095097,6,11,2,0.9634217619895936,1.4814372956752777,1.0283070392906666,Chelsea,CHE,4,Defender,DEF
25.0,100.0,0,0,2,1.9,7.5,8,7.0,490,Fatigue - 25% chance of playing,2020-11-19 14:30:27.680277,5.5,51090.jpg,5.6,3.7,d,5,8,28,192815,52136,177566,10624,1.3,5.1,Thiago Silva,432,1,0,3,4,0,0,0,0,0,0,1,124,159.6,18.0,52.0,23.0,55,14,257,74,155,37,123,33,,,,Thiago Thiago,3288,5,0.601676344871521,0,0.0591038428246975,2,1,1,0.601676344871521,1.5688917879015207,1.5688917879015207,Chelsea,CHE,4,Defender,DEF
100.0,100.0,0,0,2,0.5,0.0,0,0.0,125,,2020-10-18 23:00:21.692108,4.5,19419.jpg,2.0,0.1,a,6,31,2,5175,1171,6158,343,0.0,0.4,Cahill,90,0,0,0,1,0,0,0,0,0,0,0,14,26.0,0.0,0.0,2.6,307,123,481,194,454,184,364,134,,,,Gary Cahill,699,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,CRY,3,Defender,DEF
100.0,100.0,0,0,2,0.8,0.3,0,0.3,127,,2020-08-15 10:00:11.633422,4.5,40784.jpg,1.0,0.3,a,6,31,4,23165,697,17382,1481,0.1,0.9,Sakho,275,0,0,0,8,0,0,0,0,0,0,0,33,36.6,1.6,6.0,4.5,281,111,355,133,310,107,340,120,,,,Mamadou Sakho,485,4,0.0188349187374115,0,0.0,1,0,0,0.0188349187374115,0.5140529274940491,0.5140529274940491,Crystal Palace,CRY,3,Defender,DEF
100.0,0.0,0,-1,2,0.5,0.0,0,0.0,134,,2020-10-29 14:30:19.985440,4.4,55494.jpg,1.8,0.9,a,6,31,9,56543,61,122650,10541,0.0,2.0,Ward,450,0,0,1,8,0,0,0,2,0,0,0,46,66.8,15.7,4.0,8.7,199,82,268,81,321,114,281,98,,,,Joel Ward,510,5,0.0,0,0.012522825039923193,0,1,0,0.0,0.540371797978878,0.540371797978878,Crystal Palace,CRY,3,Defender,DEF
100.0,100.0,0,-1,2,2.5,2.0,5,2.0,139,,2020-08-15 10:00:11.682747,5.4,74230.jpg,2.0,0.6,a,6,31,6,50592,19614,16270,3568,0.4,1.1,van Aanholt,198,0,1,0,4,0,0,0,1,0,0,0,29,30.4,31.1,52.0,11.4,300,120,198,47,154,36,244,84,4.0,2.0,2.0,Patrick van Aanholt,730,3,0.6078524589538574,0,0.1799477394670248,5,2,0,0.6078524589538574,0.8680736497044563,0.1411825865507126,Crystal Palace,CRY,3,Defender,DEF
100.0,0.0,-1,1,2,1.2,0.0,0,0.7,146,,2020-10-29 14:30:20.039083,4.1,244723.jpg,2.5,20.2,a,6,31,15,1275972,5486,820560,203131,0.2,3.7,Mitchell,540,0,1,1,9,0,0,0,1,0,0,0,71,90.2,12.8,19.0,12.2,163,68,288,93,242,74,234,79,,,,Tyrick Mitchell,8214,6,0.11092577129602432,0,0.0,1,0,0,0.11092577129602432,1.4529134705662727,1.3419876173138618,Crystal Palace,CRY,3,Defender,DEF
100.0,100.0,0,-1,2,4.2,3.7,8,3.7,486,,2020-09-25 09:00:10.989226,4.4,19188.jpg,4.5,0.9,a,6,31,18,63909,15277,63981,2684,0.8,4.1,Dann,360,1,0,1,4,0,0,0,0,0,0,1,74,104.2,1.6,59.0,16.5,138,55,353,131,132,25,182,58,,,,Scott Dann,512,4,0.453367218375206,0,0.0,2,0,1,0.453367218375206,0.28455330058932304,0.28455330058932304,Crystal Palace,CRY,3,Defender,DEF
,,0,0,2,3.5,3.0,2,3.0,577,,,4.5,57328.jpg,3.0,0.2,a,6,31,9,19593,6083,4635,1699,0.7,2.0,Clyne,251,0,0,1,3,0,0,0,0,0,0,0,49,31.8,17.8,18.0,6.8,295,116,259,76,247,78,303,106,,,,Nathaniel Clyne,603,3,0.03140290826559067,0,0.03682101890444756,1,1,0,0.03140290826559067,0.6028684824705124,0.5714655667543411,Crystal Palace,CRY,3,Defender,DEF
75.0,100.0,0,-1,2,0.6,-0.2,1,0.3,152,Hamstring injury - 75% chance of playing,2020-11-13 11:00:14.415890,4.9,59949.jpg,2.7,1.0,d,7,11,16,182645,6138,196404,3380,0.1,3.3,Coleman,447,0,1,1,8,0,0,0,0,0,0,1,97,112.4,46.1,34.0,19.3,122,47,158,39,191,53,154,49,,,,Seamus Coleman,585,6,0.04070584662258625,1,0.5829970985651016,2,3,0,0.04070584662258625,2.3736789673566814,2.296406302601099,Everton,EVE,3,Defender,DEF
100.0,100.0,0,1,2,0.2,-0.8,1,-0.3,155,,2020-10-25 16:00:14.588168,6.1,101188.jpg,3.7,12.5,a,7,11,26,1127437,63958,960065,33020,0.0,4.3,Digne,611,0,3,1,12,0,0,0,0,1,0,7,138,154.6,177.4,38.0,37.1,56,15,22,5,184,48,55,8,2.0,2.0,,Lucas Digne,1823,7,0.1391140315681696,2,1.057229857891798,3,11,0,0.1391140315681696,1.9689388535916803,1.346093077212572,Everton,EVE,3,Defender,DEF
,,0,1,2,1.5,0.5,1,1.0,156,,,5.1,106611.jpg,3.4,5.9,a,7,11,27,440128,17227,190586,20386,0.2,5.3,Keane,720,2,0,1,14,0,0,0,0,0,0,1,152,208.8,24.0,84.0,31.7,24,4,231,64,85,15,75,13,,,,Michael Keane,1653,8,1.1978994309902191,0,0.13641569390892982,4,2,2,1.1978994309902191,2.6942376233637333,2.557821918278933,Everton,EVE,3,Defender,DEF
100.0,100.0,0,-2,2,1.2,0.2,0,0.7,160,,2020-09-30 21:00:17.565989,4.3,153673.jpg,2.0,0.1,a,7,11,2,4430,461,13897,441,0.2,0.5,Kenny,75,0,0,0,1,0,0,0,0,0,0,0,11,9.0,6.6,8.0,2.4,365,141,315,103,294,100,368,137,,,,Jonjoe Kenny,1084,1,0.0,0,0.0,0,0,0,0.0,0.24064451456069946,0.24064451456069946,Everton,EVE,3,Defender,DEF
100.0,100.0,0,0,2,0.8,-0.2,0,0.3,162,,2020-10-14 10:00:21.355993,5.5,164511.jpg,2.7,2.1,a,7,11,19,131229,4276,99668,13589,0.1,3.5,Mina,630,1,0,1,11,0,0,0,1,0,0,1,119,161.6,4.7,59.0,22.5,50,13,326,112,133,26,130,37,,,,Yerry Mina,6521,7,0.5750916507095098,0,0.0,3,0,1,0.5750916507095098,1.873711124062538,1.861257031559944,Everton,EVE,3,Defender,DEF
100.0,100.0,0,-2,2,0.5,-0.5,0,0.0,165,,2020-09-06 01:30:17.999031,4.8,194164.jpg,0.0,0.1,a,7,11,0,1267,928,6231,192,0.0,0.0,Holgate,90,0,0,0,3,0,0,0,1,0,0,0,18,22.0,0.3,0.0,2.2,323,131,382,147,523,200,372,139,,,,Mason Holgate,985,1,0.0,0,0.0,0,0,0,0.0,0.18416407704353333,0.18416407704353333,Everton,EVE,3,Defender,DEF
,,0,0,2,0.8,-0.2,0,0.3,559,,,4.0,495542.jpg,1.0,0.2,a,7,11,1,16104,2103,5995,1552,0.1,0.2,Nkounkou,68,0,0,0,1,0,0,0,1,0,0,0,6,13.8,5.3,1.0,2.0,348,137,322,109,347,127,376,141,,,,Niels Nkounkou,8109,1,0.01695982180535793,0,0.0,1,0,0,0.01695982180535793,0.030957642942667007,0.013997821137309073,Everton,EVE,3,Defender,DEF
100.0,100.0,0,0,2,0.8,-0.2,0,0.3,566,,2020-11-02 01:00:23.121685,5.0,198826.jpg,1.0,0.1,a,7,11,2,5652,348,3282,460,0.1,0.4,Godfrey,149,0,0,0,3,0,0,0,0,0,0,0,20,31.4,11.9,0.0,4.4,297,118,293,95,559,212,343,121,,,,Ben Godfrey,7689,2,0.0,0,0.026667600497603416,0,1,0,0.0,0.09638222120702268,0.09638222120702268,Everton,EVE,3,Defender,DEF
,,0,-2,2,-0.5,-0.5,0,0.0,173,,,4.3,61739.jpg,0.5,0.1,a,8,54,1,1467,45,9117,328,0.0,0.2,Le Marchand,122,0,0,0,1,0,0,0,2,0,0,0,12,12.6,1.6,1.0,1.6,353,139,352,130,348,128,386,143,,,,Maxime Le Marchand,3304,2,0.009506329894065857,0,0.0,1,0,0,0.009506329894065857,0.2469165474176407,0.2469165474176407,Fulham,FUL,2,Defender,DEF
,,0,-1,2,-0.2,-0.2,0,0.3,176,,,4.4,82514.jpg,1.4,0.2,a,8,54,7,6511,67,11801,678,0.1,1.6,Ream,450,0,0,0,10,0,0,0,0,0,0,0,78,82.6,4.7,0.0,8.8,179,73,325,111,422,171,277,96,,,,Tim Ream,7184,5,0.0,0,0.0,0,0,0,0.0,0.6187397316098213,0.6187397316098213,Fulham,FUL,2,Defender,DEF
,,0,-2,2,-0.5,-0.5,0,0.0,178,,,4.3,84915.jpg,0.0,0.2,a,8,54,0,4336,163,16576,580,0.0,0.0,Hector,237,0,0,0,10,0,0,0,1,0,0,0,33,38.8,11.3,18.0,6.7,271,106,300,98,246,77,305,107,,,,Michael Hector,5274,3,0.08639734238386154,0,0.019498158246278763,1,1,0,0.08639734238386154,0.3916406333446503,0.372142493724823,Fulham,FUL,2,Defender,DEF
