fixture_id,round,kickoff_time,event_name,home_game,difficulty,player_id,opponent_team_id,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,88,10,4,,,,BUR,DEF,2,Ben Mee,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,88,10,4,,,,BUR,DEF,2,Ben Mee,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,89,10,4,1.0,4.0,,BUR,MID,2,Ashley Westwood,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,89,10,4,1.0,4.0,,BUR,MID,2,Ashley Westwood,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,90,10,4,3.0,3.0,,BUR,MID,2,Johann Berg Gudmundsson,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,90,10,4,3.0,3.0,,BUR,MID,2,Johann Berg Gudmundsson,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,91,10,4,,,1.0,BUR,FWD,2,Chris Wood,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,91,10,4,,,1.0,BUR,FWD,2,Chris Wood,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,92,10,4,,,,BUR,DEF,2,Matthew Lowton,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,92,10,4,,,,BUR,DEF,2,Matthew Lowton,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,93,10,4,,,,BUR,FWD,2,Matej Vydra,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,93,10,4,,,,BUR,FWD,2,Matej Vydra,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,95,10,4,4.0,5.0,,BUR,MID,2,Robbie Brady,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,95,10,4,4.0,5.0,,BUR,MID,2,Robbie Brady,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,96,10,4,,,,BUR,GKP,2,Nick Pope,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,96,10,4,,,,BUR,GKP,2,Nick Pope,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,97,10,4,,,,BUR,DEF,2,Charlie Taylor,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,97,10,4,,,,BUR,DEF,2,Charlie Taylor,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,98,10,4,,1.0,,BUR,MID,2,Josh Brownhill,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,98,10,4,,1.0,,BUR,MID,2,Josh Brownhill,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,100,10,4,2.0,2.0,,BUR,MID,2,Dwight McNeil,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,100,10,4,2.0,2.0,,BUR,MID,2,Dwight McNeil,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,101,10,5,,,,CHE,GKP,4,Willy Caballero,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,101,10,5,,,,CHE,GKP,4,Willy Caballero,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,102,10,5,,,,CHE,DEF,4,César Azpilicueta,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,102,10,5,,,,CHE,DEF,4,César Azpilicueta,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,103,10,5,,4.0,,CHE,FWD,4,Olivier Giroud,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,103,10,5,,4.0,,CHE,FWD,4,Olivier Giroud,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,104,10,5,,2.0,,CHE,DEF,4,Marcos Alonso,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,104,10,5,,2.0,,CHE,DEF,4,Marcos Alonso,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,105,10,5,,,2.0,CHE,MID,4,Jorge Luiz Frello Filho,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,105,10,5,,,2.0,CHE,MID,4,Jorge Luiz Frello Filho,LEE,3
252,26.0,2021-02-27 15:00:00,Gameweek 26,False,3,106,10,2,2.0,2.0,,AVL,MID,3,Ross Barkley,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,107,10,5,,,,CHE,MID,4,Mateo Kovacic,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,107,10,5,,,,CHE,MID,4,Mateo Kovacic,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,108,10,6,,,,CRY,FWD,3,Michy Batshuayi,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,110,10,5,,,,CHE,DEF,4,Kurt Zouma,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,110,10,5,,,,CHE,DEF,4,Kurt Zouma,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,112,10,5,,,,CHE,GKP,4,Kepa Arrizabalaga,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,112,10,5,,,,CHE,GKP,4,Kepa Arrizabalaga,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,113,10,5,,,,CHE,MID,4,N'Golo Kanté,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,113,10,5,,,,CHE,MID,4,N'Golo Kanté,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,114,10,5,1.0,,,CHE,MID,4,Hakim Ziyech,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,114,10,5,1.0,,,CHE,MID,4,Hakim Ziyech,LEE,3
282,29.0,2021-03-20 15:00:00,Gameweek 29,True,2,115,10,8,,,,FUL,MID,2,Ruben Loftus-Cheek,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,116,10,5,,,,CHE,DEF,4,Andreas Christensen,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,116,10,5,,,,CHE,DEF,4,Andreas Christensen,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,117,10,5,,,1.0,CHE,FWD,4,Timo Werner,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,117,10,5,,,1.0,CHE,FWD,4,Timo Werner,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,118,10,5,,,,CHE,FWD,4,Tammy Abraham,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,118,10,5,,,,CHE,FWD,4,Tammy Abraham,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,119,10,5,,,,CHE,MID,4,Christian Pulisic,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,119,10,5,,,,CHE,MID,4,Christian Pulisic,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,120,10,5,2.0,1.0,,CHE,MID,4,Mason Mount,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,120,10,5,2.0,1.0,,CHE,MID,4,Mason Mount,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,121,10,5,,,,CHE,DEF,4,Fikayo Tomori,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,121,10,5,,,,CHE,DEF,4,Fikayo Tomori,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,122,10,5,6.0,,,CHE,MID,4,Callum Hudson-Odoi,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,122,10,5,6.0,,,CHE,MID,4,Callum Hudson-Odoi,LEE,3
102,11.0,2020-12-05 15:00:00,Gameweek 11,True,2,123,10,5,4.0,5.0,,CHE,DEF,4,Reece James,LEE,3
273,28.0,2021-03-13 15:00:00,Gameweek 28,False,3,123,10,5,4.0,5.0,,CHE,DEF,4,Reece James,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,125,10,6,,,,CRY,DEF,3,Gary Cahill,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,127,10,6,,,,CRY,DEF,3,Mamadou Sakho,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,128,10,6,,,,CRY,GKP,3,Vicente Guaita,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,130,10,6,,,,CRY,MID,3,James McArthur,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,131,10,6,5.0,,,CRY,MID,3,James McCarthy,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,132,10,6,,,,CRY,FWD,3,Christian Benteke,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,133,10,6,,,,CRY,MID,3,Cheikhou Kouyaté,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,134,10,6,,,,CRY,DEF,3,Joel Ward,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,137,10,6,3.0,3.0,,CRY,MID,3,Andros Townsend,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,138,10,6,1.0,1.0,1.0,CRY,MID,3,Luka Milivojevic,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,139,10,6,4.0,2.0,2.0,CRY,DEF,3,Patrick van Aanholt,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,140,10,6,,,4.0,CRY,FWD,3,Jordan Ayew,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,141,10,6,,,3.0,CRY,MID,3,Wilfried Zaha,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,142,10,6,,,,CRY,MID,3,Jeffrey Schlupp,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,144,10,6,,,,CRY,MID,3,Jairo Riedewald,LEE,3
222,23.0,2021-02-06 15:00:00,Gameweek 23,False,3,146,10,6,,,,CRY,DEF,3,Tyrick Mitchell,LEE,3
172,18.0,2021-01-12 19:45:00,Gameweek 18,False,3,148,10,16,,,,SOU,MID,3,Theo Walcott,LEE,3
