id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
5613,Gabriel,6,540,1,0.7665101587772369,0,0,5,0,1,0,D,Arsenal,1,0.7665101587772369,1.34494823589921,1.34494823589921
5656,Nicolas Pepe,6,197,1,0.33848069980740547,0,0.07018397003412247,5,1,0,0,F S,Arsenal,1,0.33848069980740547,0.5990227423608303,0.36798104643821716
5962,Tanguy NDombele Alvaro,7,369,1,0.5061023738235235,0,0.1347375214099884,4,2,2,0,M S,Tottenham,1,0.5061023738235235,2.5152733251452446,1.9666216000914574
6026,Richarlison,5,384,1,2.667716583237052,2,1.0768876178190112,16,4,1,1,F,Everton,0,1.9065477456897497,3.489486128091812,0.876866552978754
6027,Jairo Riedewald,6,363,1,0.33911940455436707,0,0.1507517322897911,1,2,0,0,M S,Crystal Palace,1,0.33911940455436707,1.0128882974386215,0.5628431290388107
6049,Solly March,7,583,1,1.0158931724727154,1,0.782368766143918,6,10,0,0,M,Brighton,1,1.0158931724727154,2.7513766027987003,1.0549451652914286
6063,Jacob Murphy,4,273,1,0.16897087544202805,0,0.05567648261785507,4,1,1,0,D S,Newcastle United,1,0.16897087544202805,0.07068309746682644,0.05567648261785507
6144,Sébastien Haller,7,211,1,0.4515557289123535,0,0.15497230365872383,6,2,0,0,F S,West Ham,1,0.4515557289123535,0.26301316916942596,0.07881771586835384
6157,Timothy Castagne,6,540,1,0.6386942118406296,2,0.7428794074803591,2,5,1,0,D M,Leicester,1,0.6386942118406296,1.8810895550996065,1.2083810418844223
6382,Pedro Neto,7,580,1,0.5034325905144215,2,1.506714042276144,12,14,0,0,F M,Wolverhampton Wanderers,1,0.5034325905144215,2.6474135294556618,1.3074614778161049
6456,Callum Hudson-Odoi,4,148,1,0.17305747047066689,0,0.4831446073949337,4,5,0,0,M S,Chelsea,1,0.17305747047066689,0.7784568965435028,0.46928191278129816
