fixture_id,fixture_code,home_team_id,team_h_score,away_team_id,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id,opponent_team_id,team_id
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,38,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,39,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,39,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,39,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,39,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,39,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,40,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,40,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,40,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,40,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,40,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,41,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,41,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,41,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,41,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,41,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,42,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,42,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,42,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,42,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,42,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,43,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,43,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,43,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,43,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,43,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,44,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,44,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,44,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,44,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,44,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,45,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,45,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,45,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,45,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,45,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,46,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,46,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,46,6,2
