player_id,fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
442,9,1,1,False,2020-09-19 19:00:00,2,1,2,89,0,0,0,2,0,0,0,0,0,0,0,18,11.0,16.8,3.0,3.1,45,-2578,15134,397,2975
443,6,14,0,True,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,11269,0,0
443,9,1,0,False,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1753,10766,316,2069
444,6,14,0,True,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,544,0,0
444,9,1,0,False,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-21,619,82,103
445,6,14,2,True,2020-09-12 19:00:00,0,2,1,88,0,0,0,2,0,0,0,0,0,0,0,5,1.8,2.6,12.0,1.6,65,0,94805,0,0
445,9,1,2,False,2020-09-19 19:00:00,2,1,2,82,0,0,0,1,0,0,0,0,0,0,0,6,4.8,6.9,34.0,4.6,64,-30148,66218,1365,31513
446,5,9,2,True,2020-09-13 13:00:00,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,3,4.8,12.8,9.0,2.7,55,0,37744,0,0
446,12,7,7,False,2020-09-19 11:30:00,5,2,2,70,1,0,0,5,0,0,0,0,0,0,0,26,47.6,3.6,36.0,8.7,55,-4989,34399,1716,6705
447,6,14,0,True,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,409,0,0
447,9,1,0,False,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,33,574,146,113
448,6,14,2,True,2020-09-12 19:00:00,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,15,21.6,14.5,8.0,4.4,50,0,305763,0,0
448,9,1,2,False,2020-09-19 19:00:00,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,19,22.4,27.8,10.0,6.0,50,-42772,276330,6694,49466
449,6,14,2,True,2020-09-12 19:00:00,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,7,12.4,21.6,46.0,8.0,50,0,367903,0,0
449,9,1,2,False,2020-09-19 19:00:00,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,5,0.0,11.1,14.0,2.5,50,-44564,330238,14039,58603
450,6,14,2,True,2020-09-12 19:00:00,0,2,1,66,0,0,0,1,0,0,0,0,0,0,0,8,4.6,1.9,18.0,2.5,65,0,6389,0,0
450,9,1,2,False,2020-09-19 19:00:00,2,1,2,87,0,0,0,2,0,0,0,0,0,0,0,11,2.6,12.8,0.0,1.5,65,-1225,5983,244,1469
451,6,14,1,True,2020-09-12 19:00:00,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,15,24.6,0.9,0.0,2.6,45,0,101787,0,0
451,9,1,1,False,2020-09-19 19:00:00,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,10,16.8,0.3,0.0,1.7,45,-14494,94169,3402,17896
452,6,14,0,True,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,161367,0,0
452,9,1,0,False,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-12169,163501,7281,19450
453,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,20303,0,0
453,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1257,22927,564,1821
454,8,15,3,False,2020-09-14 17:00:00,0,2,1,85,0,0,1,0,0,0,0,0,0,0,0,16,17.4,49.1,0.0,6.7,55,0,202859,0,0
454,18,12,2,True,2020-09-21 19:15:00,1,3,2,77,0,0,0,2,0,0,0,0,0,0,0,10,12.2,13.6,0.0,2.6,55,-19736,195761,8094,27830
455,8,15,6,False,2020-09-14 17:00:00,0,2,1,90,0,0,1,0,0,0,0,0,0,1,0,23,11.2,0.0,0.0,1.1,55,0,375930,0,0
455,18,12,3,True,2020-09-21 19:15:00,1,3,2,90,0,0,0,3,0,0,0,0,0,6,0,21,38.0,0.0,0.0,3.8,55,-16218,399744,16639,32857
456,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,25352,0,0
456,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3484,26231,1334,4818
457,4,7,2,True,2020-09-13 15:30:00,0,1,1,75,0,0,0,1,0,0,0,0,0,0,0,6,20.0,3.5,35.0,5.9,60,0,1485702,0,0
457,17,16,0,False,2020-09-20 11:00:00,2,5,2,90,0,0,0,2,0,0,0,1,0,0,0,-1,3.0,1.2,0.0,0.4,60,-180742,1368719,39131,219873
458,8,15,6,False,2020-09-14 17:00:00,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,25,21.6,0.2,0.0,2.2,55,0,138741,0,0
458,18,12,1,True,2020-09-21 19:15:00,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,10,18.8,0.3,4.0,2.3,55,-6419,153262,8762,15181
459,8,15,8,False,2020-09-14 17:00:00,0,2,1,90,0,0,1,0,0,0,0,0,0,0,2,29,22.0,0.0,0.0,2.2,50,0,556410,0,0
459,18,12,1,True,2020-09-21 19:15:00,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,10,10.8,10.0,0.0,2.1,50,-8498,599340,41971,50469
460,8,15,8,False,2020-09-14 17:00:00,0,2,1,90,1,0,1,0,0,0,0,0,0,0,2,29,41.2,8.5,48.0,9.8,85,0,1082647,0,0
460,18,12,6,True,2020-09-21 19:15:00,1,3,2,90,1,0,0,3,0,0,0,0,0,0,0,26,34.0,1.9,33.0,6.9,85,29769,1282778,155911,126142
461,8,15,15,False,2020-09-14 17:00:00,0,2,1,90,1,0,1,0,0,0,0,0,0,0,3,34,63.4,0.2,38.0,10.2,50,0,177607,0,0
461,18,12,1,True,2020-09-21 19:15:00,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,11,11.2,0.4,2.0,1.4,50,117769,385987,163098,45329
462,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,2930,0,0
462,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-620,2558,84,704
463,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,18422,0,0
463,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,374,26850,5058,4684
464,8,15,3,False,2020-09-14 17:00:00,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,11,16.4,15.4,4.0,3.6,50,0,145802,0,0
464,18,12,1,True,2020-09-21 19:15:00,1,3,2,12,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,50,-11171,140174,10750,21921
465,8,15,3,False,2020-09-14 17:00:00,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,6,12.8,1.8,17.0,3.2,65,0,1189095,0,0
465,18,12,2,True,2020-09-21 19:15:00,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,17,25.6,39.2,2.0,6.7,65,-102740,1192596,59207,161947
466,8,15,1,False,2020-09-14 17:00:00,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,4,5.6,10.3,0.0,1.6,55,0,158296,0,0
466,18,12,2,True,2020-09-21 19:15:00,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,15,13.0,11.6,26.0,5.1,55,-19607,156296,6268,25875
467,8,15,1,False,2020-09-14 17:00:00,0,2,1,22,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0.5,0.0,0.1,40,0,106766,0,0
467,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,33429,173721,58849,25420
468,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,215812,0,0
468,11,5,0,False,2020-09-20 15:30:00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-58615,147855,6037,36894
469,8,15,6,False,2020-09-14 17:00:00,0,2,1,75,0,1,1,0,0,0,0,0,0,0,0,23,25.8,18.3,0.0,4.4,55,0,17314,0,0
469,18,12,5,True,2020-09-21 19:15:00,1,3,2,90,0,1,0,3,0,0,0,0,0,0,0,17,24.4,29.6,7.0,6.1,55,22114,47771,35402,13288
470,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,108444,0,0
470,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4861,122040,8312,13173
471,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,618483,0,0
471,18,12,1,True,2020-09-21 19:15:00,1,3,2,82,0,0,0,3,0,0,0,0,0,0,0,7,14.8,2.0,0.0,1.7,44,-153280,473817,10478,163758
472,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,9380,0,0
472,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-655,10513,119,774
473,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,522,0,0
473,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-94,477,45,139
474,8,15,6,False,2020-09-14 17:00:00,0,2,1,67,0,1,1,0,0,0,0,0,0,0,0,18,19.8,15.8,4.0,4.0,55,0,13748,0,0
474,18,12,2,True,2020-09-21 19:15:00,1,3,2,77,0,0,0,2,0,0,0,0,0,0,0,4,8.0,23.9,18.0,5.0,55,9371,32122,15911,6540
475,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,35928,0,0
475,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4559,38514,4642,9201
476,8,15,0,False,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,17621,0,0
476,18,12,0,True,2020-09-21 19:15:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-447,23573,3813,4260
477,8,20,0,True,2020-09-14 17:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,433,0,0
477,10,2,0,False,2020-09-21 17:00:00,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-60,393,21,81
478,2,8,14,False,2020-09-12 11:30:00,0,3,1,74,0,3,1,0,0,0,0,0,0,0,2,35,38.6,38.0,38.0,11.5,80,0,473242,0,0
