chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
,,102380,0,0,-4,4,0,2,0.5,0.0,0,0.0,109,False,,,46,102380.jpg,0.0,0.8,a,5,8,0,599,1728,0.0,0.0,Rüdiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,507,195,494,195,471,184,511,195,,,,,,,,0.0,-0.4347826086956522
,,103192,1,-1,1,-1,2,2,8.2,7.7,9,7.7,110,True,,,51,103192.jpg,6.4,4.8,a,5,8,32,53646,3696,1.5,6.3,Zouma,450,2,0,2,6,0,0,0,0,0,0,4,125,172.8,14.6,76.0,26.4,18,2,237,71,68,8,65,11,,,,,,,6.4,1.254901960784314,0.8627450980392158
,,109533,0,0,-2,2,0,2,0.5,0.0,0,0.0,111,False,,,48,109533.jpg,0.0,0.2,a,5,8,0,92,260,0.0,0.0,Emerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,517,198,506,198,486,187,521,198,5.0,,3.0,,,,,0.0,-0.4166666666666667
0.0,0.0,109745,0,0,-2,2,0,1,0.0,0.0,0,0.7,112,False,Shoulder injury - Unknown return date,2020-10-23 13:00:21.237423,48,109745.jpg,2.0,1.0,i,5,8,6,42,6264,0.1,1.2,Arrizabalaga,270,0,0,0,6,0,0,0,0,0,8,0,40,50.8,0.0,0.0,5.0,199,19,507,50,487,49,294,19,,,,,,,2.0,0.4166666666666667,0.0
100.0,100.0,116594,0,0,-1,1,0,3,2.8,2.3,3,2.3,113,False,,2020-10-03 16:30:19.172004,49,116594.jpg,2.2,3.4,a,5,8,13,3320,5181,0.5,2.7,Kanté,532,0,0,2,9,0,0,0,1,0,0,0,86,76.6,24.3,11.0,11.3,129,49,193,113,237,119,189,90,,,,,,,2.199248120300752,0.4489795918367347,0.040816326530612276
100.0,100.0,124183,0,0,-1,1,0,3,1.2,0.7,1,0.7,114,False,,2020-08-29 17:30:07.487245,79,124183.jpg,1.0,1.2,a,5,8,2,2588,4707,0.1,0.3,Ziyech,27,0,0,0,1,0,0,0,0,0,0,0,6,3.0,15.9,0.0,1.9,371,169,224,133,590,237,355,162,1.0,,,,,,6.666666666666666,0.12658227848101264,-0.12658227848101264
,,135363,0,0,-1,1,0,2,0.8,0.3,0,0.3,116,False,,,49,135363.jpg,0.0,0.3,a,5,8,0,194,550,0.1,0.0,Christensen,315,0,0,0,9,0,0,0,1,1,0,0,41,70.0,4.1,20.0,9.5,148,56,300,98,206,60,222,76,,,,,,,0.0,0.0,-0.4081632653061224
100.0,100.0,165153,0,0,-2,2,1,4,7.2,6.7,2,6.7,117,False,,2020-09-15 00:00:14.393762,93,165153.jpg,4.8,20.9,a,5,8,29,24779,31885,0.7,3.1,Werner,519,2,2,2,8,0,0,0,0,0,0,3,104,117.4,60.3,251.0,42.9,62,12,95,12,10,7,20,10,,,,,,,5.028901734104046,0.5161290322580645,0.30107526881720426
,,173879,-1,1,-3,3,0,4,2.8,2.3,1,2.3,118,False,,,72,173879.jpg,2.8,2.3,a,5,8,14,881,6457,0.3,1.9,Abraham,211,1,1,1,4,0,0,0,0,0,0,0,44,44.2,15.8,113.0,17.4,215,22,225,28,43,20,118,20,,,,,2.0,,5.971563981042655,0.38888888888888884,0.11111111111111108
100.0,100.0,176413,0,0,-2,2,0,3,2.5,2.0,3,2.0,119,False,,2020-09-14 22:30:19.934227,83,176413.jpg,2.0,3.9,a,5,8,6,7214,6948,0.2,0.7,Pulisic,173,0,0,1,2,0,0,0,0,0,0,0,20,26.4,14.1,72.0,11.3,276,114,240,139,75,43,190,91,,,,,,,3.1213872832369938,0.24096385542168672,0.0
,,184341,0,0,-1,1,1,3,1.5,1.0,1,1.0,120,False,,,69,184341.jpg,3.8,5.4,a,5,8,19,2989,16979,0.1,2.8,Mount,359,1,1,0,8,0,0,0,0,0,0,2,76,87.4,113.8,137.0,33.8,111,41,32,24,36,18,41,21,4.0,,1.0,,,,4.763231197771588,0.5507246376811593,0.26086956521739124
,,194794,0,0,-2,2,0,2,0.5,0.0,0,0.0,121,False,,,48,194794.jpg,0.0,0.3,a,5,8,0,178,487,0.0,0.0,Tomori,45,0,0,0,2,0,0,0,0,0,0,0,8,26.6,0.1,0.0,2.7,273,109,364,138,493,191,329,119,,,,,,,0.0,0.0,-0.4166666666666667
,,209046,0,0,-2,2,0,3,1.5,1.0,0,1.0,122,False,,,58,209046.jpg,3.3,0.3,a,5,8,10,200,1442,0.2,1.7,Hudson-Odoi,137,1,0,1,0,0,0,0,0,0,0,0,44,46.6,59.5,49.0,15.5,210,86,96,63,111,61,133,71,6.0,,,,,,6.56934306569343,0.5689655172413793,0.22413793103448273
,,225796,0,0,0,0,2,2,3.5,3.0,8,3.0,123,False,,,50,225796.jpg,5.0,11.0,a,5,8,25,16351,12027,0.6,5.0,James,363,1,1,1,7,0,0,0,1,0,0,6,120,158.4,129.0,37.0,32.6,24,4,26,6,156,37,44,5,3.0,,,,,,6.198347107438017,1.0,0.6
0.0,0.0,243568,-1,1,-1,1,0,3,0.0,0.0,0,0.0,124,False,Knee injury - Expected back 21 Nov,2020-08-15 10:00:11.591471,44,243568.jpg,0.0,0.1,i,5,8,0,104,195,0.0,0.0,Gilmour,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,468,182,450,182,421,169,473,182,,,,,,,,0.0,-0.45454545454545453
100.0,100.0,172850,1,-1,3,-3,1,2,9.5,9.0,6,9.0,232,False,,2020-10-13 20:30:13.983738,58,172850.jpg,9.0,15.8,a,5,8,27,127460,5479,1.6,4.7,Chilwell,270,1,2,2,3,0,0,0,1,0,0,3,104,128.6,142.4,48.0,32.0,46,14,20,5,115,21,47,6,2.0,,,,,,9.0,1.5517241379310345,1.206896551724138
100.0,100.0,51090,0,0,0,0,0,2,4.8,4.3,7,4.3,490,False,,2020-10-16 13:30:23.625681,55,51090.jpg,4.7,2.2,a,5,8,14,12303,1686,0.8,2.5,Thiago Silva,252,0,0,2,3,0,0,0,0,0,0,1,70,73.2,16.0,2.0,9.2,138,50,223,64,319,111,226,78,,,,,,,5.0,0.8545454545454546,0.49090909090909096
,,219847,0,0,-1,1,0,3,5.5,5.0,2,5.0,500,False,,,84,219847.jpg,3.8,8.5,a,5,8,23,11674,20896,0.6,2.7,Havertz,465,1,2,2,7,0,0,0,1,0,0,0,78,96.4,107.8,67.0,27.2,93,34,37,28,83,47,61,35,,,,,,,4.451612903225806,0.45238095238095233,0.21428571428571425
100.0,100.0,228286,0,0,0,0,0,1,4.8,4.3,7,4.3,548,False,,2020-10-09 00:00:14.848511,50,228286.jpg,6.5,1.8,a,5,8,13,40594,1274,0.9,2.6,Mendy,180,0,0,2,0,0,0,0,0,0,4,0,47,23.8,0.0,0.0,2.4,280,22,548,57,543,57,340,22,,,,,,,6.499999999999999,1.3,0.9
100.0,100.0,94245,0,0,-2,2,0,4,2.8,3.8,5,3.3,108,False,,2020-09-27 12:30:10.890923,58,94245.jpg,3.0,0.8,a,6,31,12,2110,1784,0.6,2.1,Batshuayi,196,0,2,1,1,0,0,0,0,0,0,0,32,37.2,13.2,69.0,11.8,240,28,247,31,81,25,186,26,,,,,,,5.5102040816326525,0.5172413793103449,0.1724137931034483
0.0,0.0,19419,0,0,0,0,0,2,0.0,0.0,0,0.7,125,False,Shin injury - Unknown return date,2020-10-18 23:00:21.692108,45,19419.jpg,2.0,0.1,i,6,31,2,41,386,0.2,0.4,Cahill,90,0,0,0,1,0,0,0,0,0,0,0,14,26.0,0.0,0.0,2.6,278,112,456,185,427,170,333,122,,,,,,,2.0,0.4444444444444444,0.0
0.0,0.0,20066,0,0,-1,1,0,1,0.0,0.0,0,0.0,126,False,Muscle injury - Unknown return date,2020-10-15 01:00:16.946989,44,20066.jpg,0.0,0.5,i,6,31,0,28,1317,0.0,0.0,Hennessey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,434,43,415,22,383,20,439,43,,,,,,,,0.0,-0.45454545454545453
100.0,100.0,40784,0,0,0,0,0,2,-0.2,0.8,1,0.3,127,False,,2020-08-15 10:00:11.633422,45,40784.jpg,1.0,0.3,a,6,31,4,454,735,0.1,0.9,Sakho,275,0,0,0,8,0,0,0,0,0,0,0,33,36.6,1.6,6.0,4.5,245,99,324,114,281,92,300,105,,,,,,,1.309090909090909,0.2222222222222222,-0.2222222222222222
,,40836,0,0,0,0,1,1,0.2,1.2,1,0.7,128,False,,,50,40836.jpg,2.8,4.6,a,6,31,17,1331,11220,0.1,3.4,Guaita,540,0,0,1,9,0,0,0,2,0,17,3,89,121.0,0.0,0.0,12.1,56,10,539,54,529,53,181,11,,,,,,,2.833333333333333,0.5599999999999999,0.15999999999999998
100.0,100.0,49413,0,0,0,0,0,2,-0.5,0.5,0,0.0,129,False,,2020-08-15 10:00:11.660937,45,49413.jpg,0.0,0.0,a,6,31,0,92,49,0.0,0.0,Tomkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,477,186,460,186,432,172,482,186,,,,,,,,0.0,-0.4444444444444444
,,50471,0,0,-1,1,0,3,0.5,1.5,0,1.0,130,False,,,54,50471.jpg,1.8,0.2,a,6,31,9,53,377,0.2,1.7,McArthur,428,0,0,1,6,0,0,0,2,0,0,0,48,76.8,45.6,13.0,13.6,128,48,123,78,233,117,159,82,,,,,,,1.8925233644859811,0.3333333333333333,-0.03703703703703703
0.0,0.0,50472,0,0,0,0,0,3,0.0,0.0,0,0.7,131,False,Hamstring injury - Expected back 07 Nov,2020-10-14 10:00:21.275991,45,50472.jpg,2.0,1.7,i,6,31,8,53,6354,0.2,1.8,McCarthy,316,0,0,1,5,0,0,0,1,0,0,0,44,47.4,24.6,8.0,8.0,205,83,191,112,261,135,244,110,5.0,,,,,,2.278481012658228,0.4444444444444444,0.0
100.0,100.0,54861,0,0,0,0,0,4,-0.2,0.8,0,0.3,132,False,,2020-09-06 03:00:11.019701,55,54861.jpg,1.0,0.2,a,6,31,2,365,605,0.1,0.4,Benteke,10,0,0,0,1,0,0,0,0,0,0,0,5,4.0,0.0,6.0,1.0,358,38,566,64,288,47,371,46,,,,,,,18.0,0.18181818181818182,-0.18181818181818182
,,55037,0,0,0,0,0,3,1.5,2.5,2,2.0,133,False,,,50,55037.jpg,3.3,0.7,a,6,31,20,1367,1974,0.4,4.0,Kouyaté,540,1,0,1,9,0,0,0,0,0,0,2,82,134.2,11.0,65.0,21.1,42,14,271,147,85,48,87,50,,,,,,,3.333333333333333,0.6599999999999999,0.25999999999999995
,,55494,0,0,0,0,0,2,0.2,1.2,0,0.7,134,False,,,45,55494.jpg,1.8,1.6,a,6,31,9,431,3911,0.2,2.0,Ward,450,0,0,1,8,0,0,0,2,0,0,0,46,66.8,15.7,4.0,8.7,153,58,226,65,294,99,234,81,,,,,,,1.8,0.4,-0.04444444444444443
,,58786,0,0,-2,2,0,2,-0.5,0.5,0,0.0,135,False,,,43,58786.jpg,0.0,0.5,a,6,31,0,210,953,0.0,0.0,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,161,403,159,370,141,427,160,,,,,,,,0.0,-0.46511627906976744
0.0,0.0,59125,0,0,0,0,0,4,0.0,0.0,0,0.0,136,False,Muscle injury - Unknown return date,2020-09-06 03:00:11.034332,45,59125.jpg,0.0,0.7,i,6,31,0,822,1946,0.0,0.0,Wickham,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,479,49,463,52,436,53,484,54,,,,,,,,0.0,-0.4444444444444444
,,60252,0,0,1,-1,0,3,1.5,2.5,2,2.0,137,False,,,61,60252.jpg,4.7,3.3,a,6,31,28,2749,13992,0.3,4.6,Townsend,540,1,2,1,9,0,0,0,0,0,0,4,97,150.2,159.7,44.0,35.4,30,10,13,9,132,72,35,18,3.0,,3.0,,,,4.666666666666667,0.7704918032786886,0.4426229508196722
,,66975,0,0,-3,3,0,3,0.8,1.8,2,1.3,138,False,,,57,66975.jpg,1.2,0.4,a,6,31,6,159,558,0.2,1.1,Milivojevic,138,0,0,0,4,0,0,0,0,0,0,0,29,27.2,45.9,1.0,7.3,270,111,122,77,328,161,262,120,1.0,,1.0,,1.0,,3.9130434782608696,0.21052631578947367,-0.14035087719298245
100.0,100.0,74230,0,0,-1,1,0,2,-0.2,0.8,1,0.3,139,False,,2020-08-15 10:00:11.682747,54,74230.jpg,1.0,0.2,a,6,31,1,1167,679,0.1,0.2,van Aanholt,18,0,0,0,1,0,0,0,0,0,0,0,2,3.8,0.7,7.0,1.2,361,134,344,127,274,87,368,133,2.0,,2.0,,2.0,,5.0,0.18518518518518517,-0.18518518518518517
0.0,0.0,80146,-1,1,-3,3,0,4,0.0,0.0,0,0.7,140,False,Illness - Expected back 30 Oct,2020-10-18 17:30:11.950512,57,80146.jpg,2.8,2.1,i,6,31,11,68,14551,0.1,1.9,Ayew,341,0,1,1,7,0,0,0,0,0,0,0,14,27.0,6.1,70.0,10.3,271,31,284,42,78,23,208,30,,,,,4.0,,2.903225806451613,0.49122807017543857,0.14035087719298242
100.0,100.0,82403,0,0,2,-2,2,3,7.5,8.5,13,8.0,141,True,,2020-10-16 22:00:20.908105,72,82403.jpg,8.0,22.7,a,6,31,48,124714,11359,1.1,6.7,Zaha,540,5,1,1,9,0,0,0,1,0,0,8,126,211.8,108.2,282.0,60.3,10,5,36,27,8,3,9,7,,,,,3.0,,8.0,1.1111111111111112,0.8333333333333333
100.0,100.0,86417,0,0,0,0,0,3,1.5,2.5,3,2.0,142,False,,2020-09-27 22:00:12.368852,55,86417.jpg,3.8,0.1,a,6,31,15,131,168,0.4,2.7,Schlupp,316,0,1,4,0,0,0,0,1,0,0,1,45,62.6,49.3,41.0,15.3,164,65,116,72,143,79,135,73,,,,,,,4.272151898734178,0.6909090909090909,0.3272727272727272
,,141020,0,0,-2,2,0,3,-0.5,0.5,0,0.0,143,False,,,48,141020.jpg,0.0,0.0,a,6,31,0,53,75,0.0,0.0,Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,518,206,508,206,488,197,522,206,,,,,,,,0.0,-0.4166666666666667
75.0,100.0,173954,0,0,-1,1,1,3,2.6,4.5,9,4.0,144,False,Knock - 75% chance of playing,2020-10-24 17:00:21.697186,44,173954.jpg,3.2,0.6,d,6,31,13,6098,1560,0.9,3.0,Riedewald,194,1,0,1,3,0,0,0,0,0,0,1,45,62.8,15.5,17.0,9.6,162,63,228,135,220,112,220,99,,,,,,,6.030927835051546,0.7272727272727273,0.27272727272727276
0.0,0.0,232423,0,0,0,0,0,2,0.0,0.0,0,0.0,145,False,Knee injury - Unknown return date,2020-08-26 09:30:07.992498,40,232423.jpg,0.0,1.0,i,6,31,0,153,1161,0.0,0.0,Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,414,154,395,153,359,132,418,153,,,,,,,,0.0,-0.5
,,244723,0,0,2,-2,0,2,0.5,1.5,2,1.0,146,False,,,42,244723.jpg,2.5,26.6,a,6,31,15,12084,14833,0.2,3.6,Mitchell,540,0,1,1,9,0,0,0,1,0,0,0,71,90.2,12.8,19.0,12.2,103,35,252,77,209,63,179,59,,,,,,,2.5,0.5952380952380952,0.11904761904761904
,,466955,0,0,-1,1,0,3,-0.5,0.5,0,0.0,147,False,,,44,466955.jpg,0.0,0.1,a,6,31,0,384,245,0.0,0.0,Pierrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,472,186,454,186,425,173,477,186,,,,,,,,0.0,-0.45454545454545453
100.0,100.0,19188,0,0,0,0,0,2,0.2,1.2,2,0.7,486,False,,2020-09-25 09:00:10.989226,45,19188.jpg,4.5,0.7,a,6,31,9,195,733,0.2,2.0,Dann,180,0,0,1,1,0,0,0,0,0,0,1,37,34.2,0.7,8.0,4.3,255,102,342,126,260,83,307,108,,,,,,,4.5,1.0,0.5555555555555556
100.0,100.0,232413,-1,1,-2,2,0,3,0.5,1.5,1,1.0,489,False,,2020-09-06 03:00:11.308404,58,232413.jpg,1.4,0.4,a,6,31,7,218,1059,0.2,1.2,Eze,202,0,0,0,8,0,0,0,0,0,0,0,25,27.4,39.3,79.0,14.6,269,110,135,86,64,37,147,75,4.0,,,,,,3.118811881188119,0.24137931034482757,-0.10344827586206898
100.0,100.0,221272,0,0,0,0,0,2,-0.5,0.5,0,0.0,522,False,,2020-09-15 22:30:15.910235,40,221272.jpg,0.0,0.7,a,6,31,0,2512,1147,0.0,0.0,Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,413,153,394,152,357,130,417,152,,,,,,,,0.0,-0.5
0.0,0.0,114536,0,0,0,0,0,2,0.0,0.0,0,0.0,534,False,Transferred to Charlton Athletic,2020-10-14 08:31:08.806610,40,114536.jpg,0.0,0.1,u,6,31,0,31,231,0.0,0.0,Inniss,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,402,146,383,145,344,121,406,145,,,,,,,,0.0,-0.5
,,57328,0,0,0,0,0,2,2.5,3.5,6,3.0,577,False,,,45,57328.jpg,6.0,0.0,a,6,31,6,1402,154,0.7,1.3,Clyne,71,0,0,1,0,0,0,0,0,0,0,0,20,4.2,0.4,0.0,0.5,356,132,355,132,433,173,379,136,,,,,,,7.605633802816901,1.3333333333333333,0.8888888888888888
,,42525,0,0,0,0,0,1,-0.5,0.5,0,0.0,578,False,,,40,42525.jpg,0.0,0.2,a,6,31,0,1629,239,0.0,0.0,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394,28,375,7,336,5,398,28,,,,,,,,0.0,-0.5
0.0,0.0,105666,0,0,0,0,0,1,0.0,0.0,0,0.0,586,False,Illness - Unknown return date,2020-10-23 13:30:19.850079,45,105666.jpg,0.0,0.0,i,6,31,0,63,93,0.0,0.0,Butland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,483,57,470,41,443,39,488,57,,,,,,,,0.0,-0.4444444444444444
100.0,100.0,41823,0,0,-1,1,0,3,1.2,1.2,1,0.7,149,False,,2020-09-10 13:00:10.111328,49,41823.jpg,1.0,0.0,a,7,11,2,78,90,0.1,0.4,Delph,64,0,0,0,1,0,0,0,0,0,0,0,15,8.4,2.7,0.0,1.1,336,151,309,158,505,205,370,169,,,,,,,2.8125,0.2040816326530612,-0.2040816326530612
,,55422,0,0,-1,1,0,3,2.8,2.8,1,2.3,150,False,,,69,55422.jpg,1.7,1.0,a,7,11,10,458,1084,0.3,1.4,Sigurdsson,226,0,1,0,4,0,0,0,0,0,0,0,49,47.2,51.9,25.0,12.4,207,84,108,69,186,97,176,86,3.0,,3.0,,1.0,,3.982300884955752,0.24637681159420288,-0.04347826086956522
,,57513,0,0,-1,1,0,1,0.5,0.5,0,0.0,151,False,,,44,57513.jpg,0.0,0.1,a,7,11,0,42,127,0.0,0.0,Lössl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,440,45,421,24,389,22,445,45,,,,,,,,0.0,-0.45454545454545453
0.0,0.0,59949,0,0,0,0,0,2,0.0,0.0,0,0.7,152,False,Hamstring injury - Expected back 21 Nov,2020-10-17 15:00:18.270104,50,59949.jpg,3.0,1.4,i,7,11,15,49,13220,0.1,3.0,Coleman,357,0,1,1,5,0,0,0,0,0,0,1,81,92.8,30.3,24.0,14.8,98,33,167,43,188,53,145,43,,,,,,,3.781512605042017,0.6,0.2
0.0,0.0,66838,0,0,0,0,0,4,0.0,0.0,0,0.0,153,False,Knee injury - Unknown return date,2020-08-15 10:00:11.707165,60,66838.jpg,0.0,0.0,i,7,11,0,19,24,0.0,0.0,Tosun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,581,68,581,70,582,71,584,71,,,,,,,,0.0,-0.3333333333333333
,,100649,0,0,-2,2,0,3,0.5,0.5,0,0.0,154,False,,,58,100649.jpg,0.0,0.1,a,7,11,0,102,198,0.0,0.0,Bernard,45,0,0,0,0,0,0,0,1,0,0,0,3,14.0,27.0,4.0,4.5,308,131,180,106,301,149,302,140,4.0,,4.0,,,,0.0,0.0,-0.3448275862068966
0.0,100.0,101188,0,0,2,-2,1,2,0.0,2.5,-2,2.0,155,False,Suspended until 28 Nov,2020-10-25 16:00:14.588168,62,101188.jpg,4.2,16.7,s,7,11,25,24736,151989,0.3,4.0,Digne,521,0,3,1,9,0,0,0,0,1,0,7,126,146.4,166.0,30.0,34.3,32,9,11,3,176,47,39,4,2.0,,2.0,,,,4.318618042226488,0.6774193548387097,0.3548387096774194
,,106611,0,0,1,-1,1,2,3.8,3.8,1,3.3,156,False,,,51,106611.jpg,4.2,6.0,a,7,11,25,12916,4881,0.6,4.9,Keane,540,2,0,1,9,0,0,0,0,0,0,1,128,179.2,22.5,76.0,27.8,14,1,202,58,69,9,58,9,,,,,,,4.166666666666666,0.823529411764706,0.4313725490196079
,,111234,0,0,0,0,0,1,2.5,2.5,2,2.0,157,False,,,50,111234.jpg,2.8,8.4,a,7,11,17,3438,12451,0.4,3.4,Pickford,540,0,0,1,9,0,0,0,0,0,18,1,102,136.0,10.0,0.0,14.7,39,7,277,3,536,56,146,7,,,,,,,2.833333333333333,0.5599999999999999,0.15999999999999998
100.0,100.0,120250,0,0,0,0,0,3,0.8,0.8,0,0.3,158,False,,2020-10-02 13:30:15.425544,55,120250.jpg,2.0,0.3,a,7,11,8,392,646,0.1,1.5,André Gomes,303,0,0,1,5,0,0,0,1,0,0,0,31,26.6,34.8,22.0,8.3,275,113,148,90,201,105,241,108,,,,,,,2.376237623762376,0.36363636363636365,0.0
,,153133,0,0,-1,1,0,3,2.8,2.8,1,2.3,159,False,,,59,153133.jpg,1.8,0.2,a,7,11,9,294,362,0.4,1.5,Iwobi,145,0,1,0,4,0,0,0,0,0,0,0,28,33.6,22.7,32.0,8.8,257,104,200,118,170,89,232,104,,,,,,,5.586206896551724,0.30508474576271183,-0.033898305084745756
0.0,0.0,153673,0,0,-2,2,0,2,0.0,0.0,0,0.0,160,False,Ankle injury - Unknown return date,2020-09-30 21:00:17.565989,43,153673.jpg,0.0,0.1,i,7,11,0,20,246,0.0,0.0,Kenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,427,165,407,163,375,146,431,164,,,,,,,,0.0,-0.46511627906976744
0.0,0.0,160987,0,0,0,0,0,3,0.0,0.0,0,0.0,161,False,Achilles injury - Expected back 28 Nov,2020-08-15 10:00:11.729677,50,160987.jpg,0.0,0.0,i,7,11,0,4,5,0.0,0.0,Gbamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,550,219,544,219,537,215,554,219,,,,,,,,0.0,-0.4
100.0,100.0,164511,0,0,0,0,0,2,3.8,3.8,1,3.3,162,False,,2020-10-14 10:00:21.355993,55,164511.jpg,3.2,2.3,a,7,11,19,5472,2818,0.6,3.5,Mina,540,1,0,1,9,0,0,0,0,0,0,1,110,153.6,3.5,59.0,21.6,27,6,302,100,97,17,85,17,,,,,,,3.166666666666667,0.5818181818181819,0.21818181818181823
,,173807,0,0,-1,1,0,3,1.2,1.2,0,0.7,163,False,,,54,173807.jpg,1.3,0.1,a,7,11,4,58,181,0.1,0.7,Davies,92,0,0,0,2,0,0,0,0,0,0,0,24,22.2,2.8,0.0,2.5,286,118,307,157,560,226,338,153,,,,,,,3.9130434782608696,0.24074074074074073,-0.12962962962962962
,,177815,0,0,7,-7,1,4,4.8,4.8,1,4.3,164,True,,,77,177815.jpg,7.3,56.7,a,7,11,44,46459,25519,0.6,5.7,Calvert-Lewin,518,7,0,1,9,0,0,0,1,0,0,5,179,259.2,30.3,327.0,61.6,4,2,168,24,3,2,7,2,,,,,,,7.644787644787645,0.948051948051948,0.6883116883116883
0.0,0.0,194164,-1,1,-2,2,0,2,0.0,0.0,0,0.0,165,False,Toe Injury - Expected back 28 Nov,2020-09-06 01:30:17.999031,48,194164.jpg,0.0,0.0,i,7,11,0,7,85,0.0,0.0,Holgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,521,200,511,200,492,190,525,200,,,,,,,,0.0,-0.4166666666666667
0.0,0.0,212319,-1,1,-2,2,0,4,0.0,0.0,0,0.0,166,False,Suspended until 21 Nov,2020-10-17 15:00:18.329404,78,212319.jpg,4.4,4.6,s,7,11,22,297,23302,0.0,2.8,Richarlison,382,1,3,1,5,0,0,0,1,1,0,4,84,107.6,52.2,193.0,35.1,75,14,106,13,22,14,36,15,,,,,2.0,,5.183246073298429,0.5641025641025642,0.30769230769230776
,,222627,0,0,-1,1,0,1,0.5,0.5,0,0.0,167,False,,,44,222627.jpg,0.0,0.1,a,7,11,0,21,60,0.0,0.0,Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,53,447,33,417,31,470,53,,,,,,,,0.0,-0.45454545454545453
,,232826,0,0,-1,1,0,3,0.8,0.8,1,0.3,168,False,,,44,232826.jpg,1.0,0.4,a,7,11,1,481,666,0.1,0.2,Gordon,32,0,0,0,0,0,0,0,0,0,0,0,4,4.2,1.2,2.0,0.7,355,164,334,166,310,154,376,171,,,,,,,2.8125,0.22727272727272727,-0.22727272727272727
0.0,0.0,242058,0,0,-2,2,0,4,0.0,0.0,0,0.0,169,False,Joined Paris Saint-Germain on loan until the end of the season on 4/10. - Expected back 01 Jul,2020-10-03 00:30:17.828204,58,242058.jpg,1.0,0.3,n,7,11,2,21,642,0.0,0.3,Kean,13,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.3,11.0,0.9,575,65,333,46,241,43,373,47,,,,,,,13.846153846153847,0.1724137931034483,-0.1724137931034483
0.0,0.0,480455,0,0,-1,1,0,2,0.0,0.0,0,0.0,170,False,Ankle injury - Unknown return date,2020-09-17 01:30:16.017479,39,480455.jpg,0.0,2.2,i,7,11,0,6555,3717,0.0,0.0,Branthwaite,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,389,143,370,142,331,118,393,142,,,,,,,,0.0,-0.5128205128205129
100.0,100.0,119765,0,0,-1,1,0,3,1.5,1.5,2,1.0,502,False,,2020-09-30 21:00:18.185983,54,119765.jpg,2.0,1.1,a,7,11,10,958,1608,0.2,1.9,Allan,450,0,0,1,7,0,0,0,1,0,0,0,54,73.4,22.9,8.0,10.4,136,53,199,117,268,140,201,95,,,,,,,2.0,0.37037037037037035,0.0
75.0,75.0,60025,0,0,5,-5,1,3,6.4,6.4,2,8.0,508,True,Muscle injury - 75% chance of playing,2020-10-26 02:00:17.500734,80,60025.jpg,6.8,38.8,d,7,11,41,37675,52335,1.0,5.1,Rodríguez,509,3,3,1,8,0,0,0,1,0,0,5,176,224.8,245.0,145.0,61.6,8,4,2,2,32,15,8,6,1.0,,1.0,,,,7.24950884086444,0.85,0.6
