chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,444145,0,0,-1,1,0,3,0.0,0.0,0,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15 10:00:11.409498,49,444145.jpg,0.0,0.0,i,1,3,0,23,66,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,545,215,535,215,525,211,549,215,,,,,,,,0.0,-0.4081632653061224
,,462424,0,0,-3,3,0,2,0.0,0.0,0,0.0,27,False,,,42,462424.jpg,0.0,1.0,a,1,3,0,371,1891,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,421,160,401,158,368,140,425,159,,,,,,,,0.0,-0.47619047619047616
75.0,75.0,47431,-1,1,-2,2,1,3,1.1,1.1,0,1.5,478,False,Calf injury - 75% chance of playing,2020-10-21 16:30:22.095468,78,47431.jpg,4.4,6.4,d,1,3,22,371,43654,0.2,2.8,Willian,362,0,3,1,5,0,0,0,0,0,0,2,73,56.8,110.4,42.0,21.0,184,75,33,25,140,76,89,51,1.0,,1.0,,,,5.469613259668508,0.5641025641025642,0.30769230769230776
,,226597,0,0,1,-1,1,2,1.5,1.5,2,1.5,494,False,,,51,226597.jpg,4.6,11.9,a,1,3,23,5923,16851,0.3,4.5,Gabriel,450,1,0,1,4,0,0,0,0,0,0,3,95,134.0,6.0,81.0,22.1,43,12,285,88,60,5,79,14,,,,,,,4.6000000000000005,0.9019607843137255,0.5098039215686274
100.0,75.0,182539,0,0,0,0,0,3,1.8,1.4,2,1.8,501,False,,2020-10-21 16:30:22.125075,50,182539.jpg,2.7,1.6,a,1,3,16,571,6239,0.4,3.2,Ceballos,392,0,1,1,4,0,0,0,1,0,0,3,99,111.4,140.1,24.0,27.6,71,26,21,15,189,99,59,33,3.0,,,,,,3.6734693877551017,0.54,0.14000000000000004
,,153256,0,0,-1,1,0,3,1.0,1.0,0,1.0,526,False,,,44,153256.jpg,2.3,1.5,a,1,3,7,3875,3671,0.2,1.6,Elneny,270,0,0,1,4,0,0,0,0,0,0,0,51,42.6,19.7,22.0,8.4,217,88,212,125,197,104,239,106,,,,,,,2.3333333333333335,0.5227272727272726,0.06818181818181814
,,113534,0,0,0,0,0,1,0.0,0.0,0,0.0,527,False,,,40,113534.jpg,0.0,1.2,a,1,3,0,2188,1057,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,401,34,382,13,343,11,405,34,,,,,,,,0.0,-0.5
,,115918,0,0,0,0,0,1,0.0,0.0,0,0.0,547,False,,,45,115918.jpg,0.0,0.0,a,1,3,0,47,49,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,486,59,473,43,446,41,491,59,,,,,,,,0.0,-0.4444444444444444
,,167199,0,0,0,0,0,3,1.0,1.0,2,1.0,567,False,,,50,167199.jpg,1.0,0.8,a,1,3,2,6323,1799,0.2,0.4,Partey,97,0,0,0,1,0,0,0,1,0,0,0,15,11.6,14.0,0.0,2.5,319,139,241,140,538,216,337,152,,,,,,,1.8556701030927836,0.2,-0.2
,,98980,0,0,3,-3,0,1,5.2,5.2,3,5.2,12,True,,,48,98980.jpg,6.8,26.2,a,2,7,34,43995,9579,1.1,7.1,Martínez,450,0,0,3,5,0,1,0,0,0,20,4,138,173.4,0.0,0.0,17.3,17,2,505,49,485,48,119,2,,,,,,,6.8,1.4166666666666667,1.0
