fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,gameweek_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_id,opponent_strength,opponent_team_name,player_id,web_name,position_id,player_price
9,12,0,False,2019-08-11 15:30:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,6591,0,0,12,4,MUN,115,Loftus-Cheek,3,5.9
9,12,2,False,2019-08-11 15:30:00,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,18,20.8,55.3,23.0,9.9,70,0,170160,0,0,12,4,MUN,114,Pedro,3,6.8
6,17,0,False,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,4111,0,0,17,4,TOT,452,Konsa,2,4.3
6,2,5,True,2019-08-10 16:30:00,3,1,1,90,0,1,0,1,0,0,0,0,0,0,0,13,17.8,20.3,51.0,8.9,50,0,84388,0,0,2,2,AVL,349,Sissoko,3,4.8
10,13,2,False,2019-08-11 13:00:00,0,1,1,90,0,0,1,0,0,0,0,1,0,0,0,11,15.8,24.2,5.0,4.5,55,0,83398,0,0,13,3,NEW,18,Xhaka,3,5.1
10,1,2,True,2019-08-11 13:00:00,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,24,27.6,0.8,0.0,2.8,45,0,13306,0,0,1,4,ARS,255,Dummett,2,4.3
9,12,0,False,2019-08-11 15:30:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,47254,0,0,12,4,MUN,113,Willian,3,7.3
9,12,0,False,2019-08-11 15:30:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,13954,0,0,12,4,MUN,112,Caballero,1,4.8
9,12,0,False,2019-08-11 15:30:00,4,0,1,90,0,0,0,4,0,0,0,0,0,1,0,9,7.0,0.0,0.0,0.7,55,0,282338,0,0,12,4,MUN,111,Kepa,1,5.4
9,12,1,False,2019-08-11 15:30:00,4,0,1,24,0,0,0,2,0,0,0,0,0,0,0,2,0.0,0.6,0.0,0.0,70,0,130453,0,0,12,4,MUN,110,Giroud,4,6.7
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,10534,0,0,2,2,AVL,350,Dier,3,4.8
10,1,2,True,2019-08-11 13:00:00,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,10,8.4,11.1,2.0,2.2,45,0,9344,0,0,1,4,ARS,256,Manquillo,2,4.3
9,12,0,False,2019-08-11 15:30:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,27445,0,0,12,4,MUN,109,Zappacosta,2,4.2
2,3,2,False,2019-08-10 14:00:00,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,2,4.6,0.9,29.0,3.5,55,0,55367,0,0,3,2,BOU,453,Callum Robinson,3,4.9
8,11,1,True,2019-08-10 11:30:00,0,5,1,24,0,0,0,3,0,0,0,0,0,0,0,-2,1.6,1.0,18.0,2.1,60,0,57838,0,0,11,5,MCI,386,Chicharito,4,6.0
9,12,0,False,2019-08-11 15:30:00,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,16,23.4,1.6,2.0,2.7,50,0,52353,0,0,12,4,MUN,108,Christensen,2,4.8
3,16,1,True,2019-08-10 14:00:00,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,60,0,25916,0,0,16,3,SOU,451,Rodriguez,4,5.7
9,12,1,False,2019-08-11 15:30:00,4,0,1,57,0,0,0,1,0,0,0,0,0,0,0,1,8.0,14.4,18.0,4.0,60,0,422507,0,0,12,4,MUN,117,Barkley,3,5.6
8,11,0,True,2019-08-10 11:30:00,0,5,1,90,0,0,0,5,0,0,0,0,0,0,0,11,11.4,1.8,0.0,1.3,45,0,19613,0,0,11,5,MCI,380,Fredericks,2,4.4
10,1,0,True,2019-08-11 13:00:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10073,0,0,1,4,ARS,254,Fernández,2,4.6
10,1,2,True,2019-08-11 13:00:00,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,12,23.4,1.7,5.0,3.0,50,0,99525,0,0,1,4,ARS,252,Schär,2,5.0
6,2,1,True,2019-08-10 16:30:00,3,1,1,87,0,0,0,1,0,0,0,1,0,0,0,15,11.6,38.3,39.0,8.9,60,0,37710,0,0,2,2,AVL,346,Lamela,3,5.7
4,8,0,True,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,769,0,0,8,3,EVE,124,Tomkins,2,4.9
8,11,0,True,2019-08-10 11:30:00,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,118372,0,0,11,5,MCI,387,Xande Silva,4,4.3
4,8,6,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,20,15.4,0.5,2.0,1.8,55,0,370787,0,0,8,3,EVE,123,van Aanholt,2,5.6
4,7,0,False,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,9711,0,0,7,3,CRY,477,Gibson,2,4.2
9,6,8,True,2019-08-11 15:30:00,4,0,1,90,0,0,1,0,0,0,0,0,0,0,2,34,30.4,16.1,2.0,4.9,55,0,1879259,0,0,6,4,CHE,122,Wan-Bissaka,2,5.5
7,4,0,True,2019-08-10 14:00:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,15914,0,0,4,2,BHA,374,Chalobah,3,4.4
1,10,0,False,2019-08-09 19:00:00,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,35867,0,0,10,5,LIV,449,Fahrmann,1,4.4
10,1,0,True,2019-08-11 13:00:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3395,0,0,1,4,ARS,253,Yedlin,2,4.4
