chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
0.0,0.0,74471,0,0,0,0,0,3,0.0,0.0,0,0.0,60,False,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29 10:00:06.731343,50,74471.jpg,0.0,0.0,u,3,36,0,44,106,0.0,0.0,Mooy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,519,206,514,207,499,198,523,206,,,,,,,,0.0,-0.4,3,BHA,1100,1120,MID
,,109345,0,0,0,0,0,3,5.3,4.8,5,5.3,65,False,,,50,109345.jpg,4.5,0.9,a,3,36,18,25539,12598,1.1,3.6,March,347,1,1,1,10,0,0,0,0,0,0,1,81,101.6,78.1,94.0,27.4,36,16,33,25,33,14,31,15,2.0,,4.0,,,,4.6685878962536025,0.9,0.5,3,BHA,1100,1120,MID
,,116216,0,0,0,0,0,3,4.0,3.5,5,4.0,69,False,,,60,116216.jpg,5.0,2.3,a,3,36,20,45148,25659,0.7,3.3,Trossard,360,1,2,1,10,0,0,0,1,0,0,1,58,68.8,106.9,90.0,26.4,94,37,17,11,36,17,34,17,3.0,,,,,,5.0,0.8333333333333334,0.5,3,BHA,1100,1120,MID
25.0,25.0,165210,-1,1,-1,1,0,3,0.3,0.2,0,1.3,71,False,Hamstring injury - 25% chance of playing,2020-09-30 21:00:17.370674,54,165210.jpg,1.7,0.0,d,3,36,5,44,693,0.2,0.9,Jahanbakhsh,28,0,1,0,1,0,0,0,1,0,0,0,27,30.6,41.5,28.0,10.0,220,90,93,64,138,72,150,76,,,,,,,16.071428571428573,0.3148148148148148,-0.05555555555555556,3,BHA,1100,1120,MID
0.0,0.0,167473,0,0,0,0,0,3,0.0,0.0,0,0.0,72,False,Lack of match fitness - Unknown return date,2020-08-15 10:00:11.482611,55,167473.jpg,0.0,0.0,i,3,36,0,29,27,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,545,219,547,220,543,216,548,219,,,,,,,,0.0,-0.3636363636363637,3,BHA,1100,1120,MID
100.0,100.0,227127,0,0,0,0,0,3,3.0,2.5,9,3.0,76,False,,2020-09-20 15:30:14.517426,45,227127.jpg,3.7,3.5,a,3,36,11,47987,34246,0.7,2.4,Bissouma,268,1,0,1,7,0,0,0,0,1,0,2,49,55.8,16.0,22.0,9.1,125,46,183,112,161,87,164,81,,,,,,,3.694029850746269,0.8222222222222223,0.3777777777777778,3,BHA,1100,1120,MID
,,235382,0,0,0,0,0,3,2.0,1.5,1,2.0,79,False,,,45,235382.jpg,2.0,1.2,a,3,36,8,4730,12025,0.4,1.8,Alzate,339,0,0,1,10,0,0,0,1,0,0,0,56,46.0,89.5,23.0,15.9,153,64,21,14,157,83,78,46,,,,,,,2.1238938053097343,0.4444444444444444,0.0,3,BHA,1100,1120,MID
100.0,100.0,243016,-1,1,-2,2,0,3,0.0,-0.5,0,0.0,80,False,,2020-09-24 00:00:15.701972,53,243016.jpg,0.0,0.0,a,3,36,0,73,277,0.0,0.0,Mac Allister,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,535,216,532,217,522,209,539,216,4.0,,3.0,,,,,0.0,-0.37735849056603776,3,BHA,1100,1120,MID
,,220738,0,0,0,0,0,3,0.0,-0.5,0,0.0,550,False,,,45,220738.jpg,0.0,0.0,a,3,36,0,213,122,0.0,0.0,Molumby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,178,455,179,421,159,470,178,,,,,,,,0.0,-0.4444444444444444,3,BHA,1100,1120,MID
100.0,100.0,40845,0,0,-1,1,0,3,1.8,1.3,2,1.3,55,False,,2020-09-17 22:00:09.960386,44,40845.jpg,2.0,8.7,a,4,90,4,41802,72506,0.3,0.9,Stephens,157,0,0,0,3,0,0,0,0,0,0,0,22,19.8,6.6,21.0,4.8,254,104,239,129,169,93,252,117,,,,,,,2.2929936305732483,0.4545454545454545,0.0,3,BUR,1060,1100,MID
0.0,0.0,40145,0,0,0,0,0,3,0.0,0.0,0,0.0,84,False,Ankle injury - Unknown return date,2020-08-15 10:00:11.504829,50,40145.jpg,0.0,0.0,i,4,90,0,65,61,0.0,0.0,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,516,204,509,205,494,196,520,204,,,,,,,,0.0,-0.4,3,BUR,1060,1100,MID
,,60551,-1,1,-1,1,0,3,4.5,4.0,8,4.0,89,False,,,54,60551.jpg,4.0,0.6,a,4,90,12,2102,3634,0.7,2.2,Westwood,270,1,0,0,8,0,0,0,0,0,0,1,57,59.6,53.9,17.0,13.1,114,43,65,48,189,101,110,57,1.0,,4.0,,,,4.0,0.7407407407407407,0.3703703703703704,3,BUR,1060,1100,MID
75.0,50.0,60586,0,0,-1,1,0,3,0.6,0.1,1,0.3,90,False,Groin Injury - 75% chance of playing,2020-10-15 09:00:16.194612,54,60586.jpg,1.0,0.0,d,4,90,1,55,168,0.1,0.2,Gudmundsson,22,0,0,0,1,0,0,0,0,0,0,0,3,3.8,1.3,0.0,0.5,322,145,294,142,524,211,341,152,3.0,,3.0,,,,4.090909090909091,0.1851851851851852,-0.1851851851851852,3,BUR,1060,1100,MID
100.0,50.0,90517,0,0,0,0,0,3,0.8,0.1,0,0.3,95,False,,2020-09-20 21:00:10.350898,50,90517.jpg,1.0,0.0,a,4,90,1,109,230,0.1,0.2,Brady,39,0,0,0,1,0,0,0,0,0,0,0,4,7.2,0.3,17.0,2.5,305,134,326,159,187,100,300,132,4.0,,5.0,,,,2.3076923076923075,0.2,-0.2,3,BUR,1060,1100,MID
,,172782,0,0,0,0,0,3,2.5,2.0,2,2.0,98,False,,,50,172782.jpg,2.0,0.0,a,4,90,6,172,373,0.4,1.2,Brownhill,270,0,0,0,8,0,0,0,0,0,0,0,29,28.2,49.0,51.0,12.8,227,93,74,54,72,37,116,62,,,1.0,,,,2.0,0.4,0.0,3,BUR,1060,1100,MID
,,433154,-1,1,-1,1,0,3,3.2,2.7,1,2.7,100,False,,,59,433154.jpg,2.7,0.6,a,4,90,8,861,6630,0.5,1.4,McNeil,270,0,1,0,8,0,0,0,1,0,0,0,41,46.2,76.3,8.0,13.1,152,63,35,27,227,120,112,59,2.0,,2.0,,,,2.666666666666667,0.4576271186440678,0.1186440677966102,3,BUR,1060,1100,MID
,,217401,0,0,0,0,0,3,0.5,0.0,0,0.0,535,False,,,45,217401.jpg,0.0,0.0,a,4,90,0,168,168,0.0,0.0,Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,463,176,453,177,418,157,468,176,,,,,,,,0.0,-0.4444444444444444,3,BUR,1060,1100,MID
,,195064,0,0,0,0,0,3,0.5,0.0,0,0.0,551,False,,,45,195064.jpg,0.0,0.0,a,4,90,0,72,53,0.0,0.0,Goodridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,458,174,448,175,412,154,463,174,,,,,,,,0.0,-0.4444444444444444,3,BUR,1060,1100,MID
100.0,100.0,85955,1,-1,2,-2,2,3,5.5,5.5,15,5.0,105,False,,2020-09-14 21:30:11.281378,52,85955.jpg,9.0,10.0,a,5,8,27,298598,49543,1.0,5.2,Jorginho,252,3,1,1,3,0,0,1,0,0,0,4,92,154.4,56.1,76.0,28.7,9,5,63,46,42,21,23,11,,,,,1.0,,9.642857142857142,1.7307692307692306,1.346153846153846,4,CHE,1250,1280,MID
