chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
,,444884,0,0,-1,1,0,3,0.5,1.0,0,0.0,265,False,,,44,444884.jpg,0.0,0.2,a,11,14,0,4717,2378,0.0,0.0,Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,428,170,412,171,372,149,433,170,,,,,,,,0.0,-0.4545454545454545,5,LIV,1330,1350,MID
,,194634,0,0,-2,2,0,3,3.2,3.7,2,2.7,468,False,,,63,194634.jpg,4.0,2.0,a,11,14,8,16161,24253,0.4,1.3,Jota,100,1,0,0,7,0,0,0,0,0,0,0,20,39.8,20.5,83.0,14.3,179,72,161,96,41,20,98,54,,,,,,,7.2,0.6349206349206349,0.31746031746031744,5,LIV,1330,1350,MID
75.0,0.0,61558,0,0,0,0,0,3,0.6,0.0,0,0.3,531,False,Illness - 75% chance of playing,2020-09-28 21:00:20.374299,60,61558.jpg,1.0,2.0,d,11,14,1,12293,45380,0.0,0.2,Thiago,45,0,0,0,0,0,0,0,0,0,0,0,3,3.2,17.8,1.0,2.2,330,146,176,106,287,140,310,136,,,,,,,2.0,0.16666666666666666,-0.16666666666666666,5,LIV,1330,1350,MID
50.0,25.0,59859,0,0,-1,1,0,3,0.2,0.2,0,0.0,271,False,Lack of match fitness - 50% chance of playing,2020-09-21 10:30:18.211907,54,59859.jpg,0.0,0.2,d,12,43,0,94,2697,0.0,0.0,Gündogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,536,217,533,218,523,210,540,217,3.0,,3.0,,2.0,,,0.0,-0.3703703703703704,5,MCI,1330,1350,MID
75.0,,61366,-1,1,1,-1,0,3,4.7,6.7,2,5.7,272,False,Knock - 75% chance of playing,2020-10-12 20:30:22.007151,116,61366.jpg,5.7,38.4,d,12,43,17,69628,458295,0.5,1.5,De Bruyne,270,1,1,0,7,0,0,0,0,0,0,3,66,114.8,185.4,127.0,42.8,27,11,1,1,25,10,8,5,1.0,,1.0,,1.0,,5.666666666666666,0.4913793103448276,0.3189655172413793,5,MCI,1330,1350,MID
,,103025,0,0,0,0,1,3,5.2,5.7,2,4.7,275,False,,,85,103025.jpg,7.0,4.1,a,12,43,14,27904,107208,0.6,1.6,Mahrez,166,1,1,0,6,0,0,0,0,0,0,2,45,55.4,72.7,35.0,16.3,126,47,41,32,119,62,75,43,2.0,,2.0,,4.0,,7.590361445783132,0.8235294117647058,0.5882352941176471,5,MCI,1330,1350,MID
75.0,,103955,0,0,0,0,0,3,4.3,6.3,9,5.3,276,False,Hamstring injury - 75% chance of playing,2020-10-05 14:30:18.130093,115,103955.jpg,5.3,6.2,d,12,43,16,46070,91837,0.5,1.4,Sterling,261,1,1,0,7,0,0,0,0,0,0,2,34,70.0,75.5,138.0,28.4,91,36,37,29,20,7,25,13,,,4.0,,6.0,,5.517241379310343,0.4608695652173913,0.28695652173913044,5,MCI,1330,1350,MID
100.0,100.0,165809,0,0,-1,1,0,3,0.8,1.3,1,0.3,281,False,,2020-09-08 22:30:12.089513,74,165809.jpg,1.0,0.5,a,12,43,1,4244,3277,0.0,0.1,Bernardo Silva,25,0,0,0,0,0,0,0,0,0,0,0,5,3.2,12.1,8.0,2.3,331,147,214,122,228,121,308,134,4.0,,,,,,3.6,0.13513513513513511,-0.13513513513513511,5,MCI,1330,1350,MID
,,209244,0,0,1,-1,0,3,4.8,5.3,2,4.3,284,False,,,66,209244.jpg,4.3,7.4,a,12,43,13,32476,104272,0.7,2.0,Foden,243,1,0,0,5,0,0,0,0,0,0,2,50,55.0,48.7,65.0,16.8,128,48,78,58,55,28,73,41,5.0,,,,,,4.814814814814816,0.6515151515151515,0.34848484848484845,5,MCI,1330,1350,MID
,,220394,0,0,0,0,0,3,0.5,1.0,0,0.0,285,False,,,45,220394.jpg,0.0,0.1,a,12,43,0,168,696,0.0,0.0,Doyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,464,177,454,178,420,158,469,177,,,,,,,,0.0,-0.4444444444444444,5,MCI,1330,1350,MID
,,220566,0,0,0,0,0,3,2.2,2.7,2,1.7,286,False,,,55,220566.jpg,1.7,0.5,a,12,43,5,1987,4516,0.3,0.9,Rodrigo,270,0,0,0,7,0,0,0,1,0,0,0,40,42.6,29.6,8.0,8.0,166,69,122,79,225,118,188,94,,,,,,,1.6666666666666663,0.3090909090909091,-0.054545454545454564,5,MCI,1330,1350,MID
,,224444,0,0,-1,1,0,3,2.8,3.3,5,2.3,287,False,,,69,224444.jpg,2.3,0.9,a,12,43,7,3228,4975,0.3,1.0,Torres,99,0,1,0,3,0,0,0,0,0,0,0,15,17.6,24.0,41.0,8.2,266,110,147,88,101,54,182,90,,,,,,,6.363636363636362,0.3333333333333333,0.04347826086956519,5,MCI,1330,1350,MID
25.0,25.0,449926,0,0,0,0,0,3,0.1,0.2,0,0.0,537,False,Leg injury - 25% chance of playing,2020-09-24 23:30:12.771005,45,449926.jpg,0.0,0.0,d,12,43,0,39,62,0.0,0.0,Bernabé,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,473,186,463,187,431,168,478,186,,,,,,,,0.0,-0.4444444444444444,5,MCI,1330,1350,MID
,,244851,0,0,0,0,0,3,0.5,1.0,0,0.0,552,False,,,45,244851.jpg,0.0,0.0,a,12,43,0,157,106,0.0,0.0,Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,472,185,462,186,429,167,477,185,,,,,,,,0.0,-0.4444444444444444,5,MCI,1330,1350,MID
,,43670,0,0,-1,1,0,3,0.5,0.0,0,0.0,290,False,,,59,43670.jpg,0.0,0.1,a,13,1,0,459,1034,0.0,0.0,Mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,556,225,557,226,555,224,558,225,4.0,,4.0,,5.0,,,0.0,-0.3389830508474576,4,MUN,1220,1250,MID
,,62398,0,0,0,0,0,3,2.2,1.7,1,1.7,295,False,,,50,62398.jpg,2.5,0.3,a,13,1,5,1273,2682,0.3,1.0,Matic,135,0,1,0,6,0,0,0,1,0,0,0,25,27.0,17.2,9.0,5.3,231,95,181,111,211,109,241,112,,,,,,,3.333333333333333,0.5,0.1,4,MUN,1220,1250,MID
,,74208,0,0,-1,1,0,3,2.5,2.0,2,2.0,296,False,,,79,74208.jpg,2.0,1.5,a,13,1,6,4001,17043,0.3,0.8,Pogba,220,0,0,0,8,0,0,0,0,0,0,0,13,22.4,12.9,20.0,5.4,244,99,210,119,173,95,239,110,,,3.0,,3.0,,2.4545454545454546,0.2531645569620253,0.0,4,MUN,1220,1250,MID
,,101582,0,0,-1,1,0,3,1.2,0.7,1,0.7,299,False,,,54,101582.jpg,1.0,0.1,a,13,1,2,276,1052,0.1,0.4,Fred,70,0,0,0,3,0,0,0,0,0,0,0,10,9.2,3.9,0.0,1.3,293,125,256,134,527,212,324,142,2.0,,5.0,,,,2.5714285714285707,0.1851851851851852,-0.1851851851851852,4,MUN,1220,1250,MID
,,109322,0,0,-1,1,0,3,0.5,0.0,0,0.0,301,False,,,59,109322.jpg,0.0,0.2,a,13,1,0,416,1531,0.0,0.0,Lingard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,559,227,560,228,558,226,561,227,,,,,6.0,,,0.0,-0.3389830508474576,4,MUN,1220,1250,MID
,,141746,0,0,0,0,1,3,7.2,6.7,6,6.7,302,False,,,105,141746.jpg,6.7,20.1,a,13,1,20,94651,149164,0.6,1.9,Fernandes,225,2,1,0,9,0,0,0,1,0,0,3,74,121.6,135.8,67.0,32.4,20,8,6,5,50,25,16,8,1.0,,1.0,,1.0,,8.0,0.6380952380952382,0.4476190476190477,4,MUN,1220,1250,MID
0.0,,156689,0,0,-1,1,0,3,0.0,0.0,0,0.0,304,False,Joined Lazio on loan until the end of the season on 2/10. - Expected back 01 Jul,2020-10-07 10:30:13.243805,49,156689.jpg,0.0,0.1,n,13,1,0,109,779,0.0,0.0,Pereira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504,199,496,200,475,186,508,199,3.0,,6.0,,,,,0.0,-0.4081632653061224,4,MUN,1220,1250,MID
,,176297,0,0,0,0,0,3,4.2,3.7,2,3.7,306,False,,,95,176297.jpg,3.7,5.5,a,13,1,11,32675,88651,0.4,1.2,Rashford,270,1,0,0,11,0,0,0,0,0,0,0,36,50.4,60.7,51.0,16.3,139,54,52,38,74,39,76,44,5.0,,2.0,,2.0,,3.666666666666667,0.3894736842105264,0.17894736842105266,4,MUN,1220,1250,MID
,,195851,-1,1,-1,1,0,3,1.5,1.0,1,1.0,309,False,,,49,195851.jpg,1.5,0.3,a,13,1,3,915,2677,0.2,0.6,McTominay,135,0,0,0,5,0,0,0,0,0,0,0,27,38.2,37.8,30.0,10.6,190,78,99,68,129,67,137,74,,,,,,,2.0,0.3061224489795918,-0.1020408163265306,4,MUN,1220,1250,MID
,,200617,0,0,-1,1,0,3,0.8,0.3,0,0.3,311,False,,,64,200617.jpg,1.0,0.3,a,13,1,1,515,2924,0.0,0.2,James,45,0,0,0,1,0,0,0,0,0,0,0,4,1.8,5.3,22.0,2.9,342,155,246,131,167,91,291,129,,,,,,,2.0,0.15625,-0.15625,4,MUN,1220,1250,MID
,,220688,-1,1,-2,2,0,3,2.2,1.7,2,1.7,315,False,,,73,220688.jpg,1.7,5.0,a,13,1,5,11744,79252,0.2,0.7,Greenwood,193,0,0,0,8,0,0,0,0,0,0,0,14,9.8,17.7,48.0,7.4,291,123,178,108,76,41,203,99,,,,,,,2.33160621761658,0.2328767123287671,-0.041095890410958916,4,MUN,1220,1250,MID
0.0,0.0,222677,0,0,0,0,0,3,0.0,0.0,0,0.0,316,False,Joined Werder Bremen on loan until the end of the season on 16/8. - Expected back 01 Jul,2020-08-16 23:30:07.140253,45,222677.jpg,0.0,0.0,n,13,1,0,96,153,0.0,0.0,Chong,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,466,179,456,180,422,160,471,179,,,,,,,,0.0,-0.4444444444444444,4,MUN,1220,1250,MID
0.0,,232928,0,0,0,0,0,3,0.0,0.0,0,0.0,317,False,Joined Watford on loan until the end of the season on 18/9. - Expected back 01 Jul,2020-10-07 10:30:13.280708,45,232928.jpg,0.0,0.1,n,13,1,0,133,919,0.0,0.0,Garner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,469,182,459,183,426,164,474,182,,,,,,,,0.0,-0.4444444444444444,4,MUN,1220,1250,MID
,,180184,-1,1,-1,1,0,3,3.2,2.7,1,2.7,495,False,,,69,180184.jpg,2.7,3.0,a,13,1,8,6537,48542,0.4,1.2,van de Beek,46,1,0,0,4,0,0,0,0,0,0,0,26,38.8,4.2,31.0,7.4,189,77,253,132,128,66,202,98,,,,,,,15.652173913043477,0.39130434782608703,0.10144927536231886,4,MUN,1220,1250,MID
,,488404,0,0,0,0,0,3,2.4,1.9,0,0.0,575,False,,,55,488404.jpg,0.0,0.0,a,13,1,0,233,29,0.0,0.0,Pellistri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,551,222,553,223,549,219,554,222,,,,,,,,0.0,-0.3636363636363637,4,MUN,1220,1250,MID
100.0,100.0,50232,-1,1,-1,1,0,3,0.8,1.3,2,1.3,321,False,,2020-09-10 14:30:12.090206,54,50232.jpg,1.8,0.3,a,14,4,7,742,2287,0.2,1.3,Shelvey,341,0,0,1,4,0,0,0,2,0,0,0,45,43.6,89.1,44.0,17.7,161,67,23,15,85,47,59,35,2.0,,1.0,,,,1.847507331378299,0.3333333333333333,-0.03703703703703703,3,NEW,1090,1130,MID
0.0,0.0,56983,-1,1,-1,1,0,3,0.0,0.0,0,0.7,322,False,Shoulder injury - Unknown return date,2020-09-27 16:00:17.085028,49,56983.jpg,2.0,0.1,i,14,4,2,35,833,0.1,0.4,Ritchie,68,0,0,0,1,0,0,0,0,0,0,0,10,11.6,23.3,18.0,5.3,282,116,150,90,183,99,240,111,1.0,,4.0,,2.0,,2.647058823529412,0.4081632653061224,0.0,3,NEW,1090,1130,MID
,,104953,-1,1,-2,2,0,3,-0.5,0.0,0,0.0,330,False,,,53,104953.jpg,0.0,0.1,a,14,4,0,92,474,0.0,0.0,Atsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,531,213,528,214,518,206,535,213,,,,,,,,0.0,-0.37735849056603776,3,NEW,1090,1130,MID
,,153127,-1,1,-1,1,0,3,1.2,1.7,2,1.7,336,False,,,49,153127.jpg,1.8,0.1,a,14,4,7,279,715,0.3,1.4,Hayden,360,0,0,1,5,0,0,0,2,0,0,0,34,44.2,17.4,23.0,8.5,159,66,179,109,158,84,172,84,,,,,,,1.75,0.36734693877551017,-0.040816326530612235,3,NEW,1090,1130,MID
,,155513,0,0,-1,1,0,3,-0.5,0.0,0,0.0,337,False,,,49,155513.jpg,0.0,0.1,a,14,4,0,143,514,0.0,0.0,Aarons,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,503,198,495,199,474,185,507,198,,,,,,,,0.0,-0.4081632653061224,3,NEW,1090,1130,MID
75.0,75.0,170137,-1,1,-2,2,0,3,2.8,3.2,12,4.3,338,False,Ankle injury - 75% chance of playing,2020-09-20 15:00:16.126673,53,170137.jpg,5.3,7.3,d,14,4,16,42096,59857,0.8,3.0,Saint-Maximin,178,1,1,1,3,0,0,0,0,0,0,2,49,64.0,40.8,28.0,13.3,103,38,94,65,137,71,108,56,,,,,,,8.089887640449438,1.0,0.6226415094339622,3,NEW,1090,1130,MID
,,179018,-1,1,-2,2,0,3,0.5,1.0,0,1.0,339,False,,,58,179018.jpg,2.3,0.6,a,14,4,7,644,7970,0.2,1.2,Almirón,126,0,1,0,2,0,0,0,0,0,0,0,33,45.6,66.6,36.0,14.8,155,65,44,34,112,57,95,53,5.0,,,,,,5.0,0.396551724137931,0.05172413793103445,3,NEW,1090,1130,MID
,,180135,0,0,-1,1,0,3,-0.2,0.3,1,0.3,480,False,,,49,180135.jpg,1.0,0.1,a,14,4,2,133,629,0.1,0.4,Sean Longstaff,3,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.3,1.0,0.1,347,158,325,158,285,138,356,159,4.0,,2.0,,,,60.0,0.2040816326530612,-0.2040816326530612,3,NEW,1090,1130,MID
,,83314,0,0,1,-1,1,3,1.5,2.0,2,2.0,485,False,,,51,83314.jpg,5.0,4.3,a,14,4,20,11159,53849,0.4,3.9,Hendrick,343,1,1,1,5,0,0,0,0,0,0,3,57,71.4,18.2,29.0,11.6,87,35,174,105,133,69,129,69,,,,,,,5.247813411078717,0.9803921568627452,0.5882352941176471,3,NEW,1090,1130,MID
0.0,0.0,223175,0,0,-1,1,0,3,0.0,0.0,0,0.0,487,False,Thigh injury - Unknown return date,2020-09-11 17:30:09.532421,49,223175.jpg,0.0,0.0,i,14,4,0,36,177,0.0,0.0,Matty Longstaff,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,513,202,505,203,488,193,517,202,,,,,,,,0.0,-0.4081632653061224,3,NEW,1090,1130,MID
,,114243,-1,1,-1,1,0,3,-0.2,0.3,0,0.3,497,False,,,49,114243.jpg,1.0,0.0,a,14,4,1,141,325,0.1,0.2,Murphy,16,0,0,0,0,0,0,0,0,0,0,0,5,6.8,0.3,0.0,0.7,309,137,324,157,469,183,332,148,,,,,,,5.625,0.2040816326530612,-0.2040816326530612,3,NEW,1090,1130,MID
100.0,100.0,90105,0,0,-1,1,0,3,1.2,1.7,4,1.7,507,False,,2020-09-27 16:00:17.426897,59,90105.jpg,2.5,0.4,a,14,4,5,793,3710,0.3,0.8,Fraser,74,0,1,0,1,0,0,0,0,0,0,0,13,4.6,3.3,5.0,1.2,316,142,264,136,243,127,327,145,3.0,,,,,,6.081081081081082,0.42372881355932196,0.0847457627118644,3,NEW,1090,1130,MID
75.0,,47247,0,0,-2,2,0,3,1.1,0.5,1,1.0,346,False,Back injury - 75% chance of playing,2020-10-15 01:00:17.482739,58,47247.jpg,1.7,0.3,d,15,49,5,382,3411,0.2,0.9,Fleck,179,0,0,0,4,0,0,0,0,0,0,0,25,18.0,48.8,14.0,8.0,262,107,76,56,197,102,189,95,2.0,,2.0,,,,2.5139664804469266,0.29310344827586204,-0.05172413793103449,3,SHU,1140,1160,MID
,,79934,-1,1,-2,2,0,3,0.8,-0.2,0,0.3,349,False,,,48,79934.jpg,1.5,0.3,a,15,49,3,327,3689,0.1,0.6,Norwood,101,0,0,0,3,0,0,0,0,0,0,0,15,10.4,22.1,0.0,3.3,288,121,154,93,442,175,281,127,1.0,,1.0,,1.0,,2.6732673267326734,0.3125,-0.10416666666666667,3,SHU,1140,1160,MID
,,153723,-1,1,-2,2,0,3,1.5,0.5,2,1.0,355,False,,,53,153723.jpg,1.2,5.5,a,15,49,5,2348,66460,0.2,0.9,Lundstram,333,0,0,1,5,0,0,1,2,0,0,0,25,54.4,116.6,53.0,22.4,130,49,15,10,70,35,44,23,3.0,,,,4.0,,1.351351351351351,0.22641509433962265,-0.15094339622641512,3,SHU,1140,1160,MID
,,167878,0,0,-1,1,0,3,2.2,1.2,2,1.7,356,False,,,49,167878.jpg,1.7,0.0,a,15,49,5,99,182,0.3,1.0,Osborn,179,0,0,0,2,0,0,0,0,0,0,0,23,23.0,61.6,22.0,10.6,239,97,48,36,162,88,136,73,4.0,,,,,,2.5139664804469266,0.34693877551020397,-0.06122448979591837,3,SHU,1140,1160,MID
100.0,100.0,207189,0,0,0,0,0,3,2.2,1.2,1,1.7,360,False,,2020-09-08 09:30:15.344354,50,207189.jpg,1.5,0.2,a,15,49,6,728,1305,0.3,1.2,Berge,284,0,0,0,4,0,0,0,1,0,0,0,35,39.0,45.7,32.0,11.7,185,76,83,60,124,65,128,68,,,,,,,1.9014084507042253,0.3,-0.1,3,SHU,1140,1160,MID
75.0,,197937,0,0,0,0,0,3,1.9,1.5,1,2.0,424,False,Knock - 75% chance of playing,2020-10-07 15:30:15.050627,45,197937.jpg,2.0,1.2,d,15,49,6,4701,13895,0.4,1.3,Burke,218,0,0,1,1,0,0,0,0,0,0,0,7,5.8,36.0,46.0,8.4,311,138,102,69,81,45,176,87,,,,,,,2.4770642201834865,0.4444444444444444,0.0,3,SHU,1140,1160,MID
0.0,0.0,49083,0,0,0,0,0,3,0.0,0.0,0,0.0,477,False,Joined Nottingham Forest on loan until the end of the season on 28/8. - Expected back 01 Jul,2020-08-29 10:00:06.979778,50,49083.jpg,0.0,0.0,n,15,49,0,51,44,0.0,0.0,Freeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,517,205,511,206,496,197,521,205,,,,,,,,0.0,-0.4,3,SHU,1140,1160,MID
,,20467,0,0,-2,2,0,3,-0.3,0.7,0,0.2,148,False,,,58,20467.jpg,1.0,0.2,a,16,20,1,1338,806,0.0,0.2,Walcott,12,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,354,162,328,160,551,221,359,162,,,,,,,7.5,0.1724137931034483,-0.1724137931034483,3,SOU,1090,1120,MID
,,78056,0,0,0,0,0,3,4.2,5.2,11,4.7,364,False,,,45,78056.jpg,4.0,3.8,a,16,20,16,49065,27708,1.0,3.6,Oriol Romeu,324,1,0,2,3,0,0,0,1,0,0,3,53,96.2,31.0,25.0,15.2,47,20,116,77,149,80,86,51,,,,,,,4.4444444444444455,0.8888888888888888,0.4444444444444444,3,SOU,1090,1120,MID
100.0,100.0,83283,0,0,-1,1,0,3,-0.2,0.8,1,0.3,365,False,,2020-09-17 01:30:16.446019,64,83283.jpg,1.5,0.2,a,16,20,3,622,1325,0.0,0.5,Redmond,125,0,0,0,1,0,0,0,0,0,0,0,7,13.0,8.8,27.0,4.8,279,114,236,126,143,75,255,119,,,3.0,,,,2.16,0.234375,-0.078125,3,SOU,1090,1120,MID
25.0,100.0,91047,0,0,0,0,0,3,0.8,4.2,6,3.7,368,False,Illness - 25% chance of playing,2020-10-07 14:30:16.447962,55,91047.jpg,3.7,0.2,d,16,20,11,945,2444,0.7,2.0,Armstrong,247,0,1,2,3,0,0,0,0,0,0,0,34,37.2,48.8,27.0,11.3,196,82,75,55,141,74,130,70,,,,,,,4.008097165991901,0.6727272727272727,0.30909090909090914,3,SOU,1090,1120,MID
,,101178,0,0,-1,1,0,3,2.2,3.2,3,2.7,370,False,,,59,101178.jpg,2.5,2.2,a,16,20,10,1799,24273,0.5,1.7,Ward-Prowse,360,0,0,2,6,0,0,0,0,0,0,0,54,47.0,90.0,35.0,17.2,149,61,20,13,116,59,67,39,1.0,,1.0,,2.0,,2.5,0.42372881355932196,0.0847457627118644,3,SOU,1090,1120,MID
0.0,,128198,0,0,-1,1,0,3,0.0,0.5,0,0.0,372,False,Joined Angers on a permanent deal on 5/10,2020-10-05 21:00:12.104758,54,128198.jpg,0.0,0.0,u,16,20,0,42,579,0.0,0.0,Boufal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,541,218,538,219,530,213,545,218,,,,,,,,0.0,-0.3703703703703704,3,SOU,1090,1120,MID
,,153379,-1,1,-1,1,0,3,-0.5,0.5,0,0.0,374,False,,,44,153379.jpg,0.0,0.2,a,16,20,0,899,1189,0.0,0.0,Sims,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,412,165,395,166,354,143,417,165,,,,,,,,0.0,-0.4545454545454545,3,SOU,1090,1120,MID
,,214466,0,0,0,0,0,3,-0.2,0.8,0,0.3,379,False,,,45,214466.jpg,1.5,0.5,a,16,20,3,386,4223,0.1,0.7,Smallbone,111,0,0,0,4,0,0,0,0,0,0,0,8,7.2,4.1,0.0,1.1,304,133,254,133,416,156,328,146,,,,,,,2.4324324324324325,0.3333333333333333,-0.1111111111111111,3,SOU,1090,1120,MID
0.0,,431131,0,0,0,0,0,3,0.0,4.8,5,4.3,382,False,Hamstring injury - Unknown return date,2020-10-15 11:30:20.422823,55,431131.jpg,3.5,0.2,i,16,20,14,1803,2326,0.8,2.5,Djenepo,233,1,1,1,5,0,0,0,1,0,0,0,37,35.4,7.2,46.0,8.7,204,85,238,128,82,46,169,83,,,,,,,5.407725321888412,0.6363636363636364,0.2727272727272727,3,SOU,1090,1120,MID
,,203389,0,0,0,0,0,3,0.2,1.2,0,0.7,524,False,,,45,203389.jpg,1.0,0.3,a,16,20,2,355,2525,0.2,0.4,Tella,35,0,0,0,2,0,0,0,0,0,0,0,7,2.2,0.3,3.0,0.5,339,153,321,156,260,129,338,150,,,,,,,5.1428571428571415,0.2222222222222222,-0.2222222222222222,3,SOU,1090,1120,MID
,,240143,0,0,0,0,0,3,0.6,1.6,0,0.0,565,False,,,45,240143.jpg,0.0,0.0,a,16,20,0,305,74,0.0,0.0,Diallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,470,183,460,184,427,165,475,183,,,,,,,,0.0,-0.4444444444444444,3,SOU,1090,1120,MID
100.0,100.0,45268,-1,1,-2,2,0,3,1.2,0.7,2,0.7,385,False,,2020-09-27 16:00:17.236494,48,45268.jpg,1.5,0.4,a,17,6,3,2753,3031,0.1,0.6,Sissoko,135,0,0,0,2,0,0,0,0,0,0,0,22,19.6,17.2,0.0,3.7,257,106,180,110,438,172,273,124,,,,,,,2.0,0.3125,-0.10416666666666667,4,TOT,1270,1290,MID
,,62974,0,0,-1,1,0,3,2.2,1.7,0,1.7,387,False,,,59,62974.jpg,1.7,0.2,a,17,6,5,2788,2425,0.3,0.8,Lamela,85,0,1,0,3,0,0,0,1,0,0,0,18,10.2,3.5,70.0,8.4,290,122,260,135,47,23,177,88,3.0,,2.0,,,,5.294117647058823,0.2881355932203389,-0.05084745762711865,4,TOT,1270,1290,MID
100.0,25.0,85971,1,-1,1,-1,2,3,14.8,3.6,18,14.3,390,True,,2020-09-27 16:00:17.251688,91,85971.jpg,11.2,32.3,a,17,6,45,1192723,76817,1.6,4.9,Son,297,6,1,0,4,0,0,0,0,0,0,5,162,249.0,171.3,181.0,60.2,1,1,3,3,8,4,3,2,1.0,,4.0,,2.0,,13.636363636363635,1.2307692307692308,1.010989010989011,4,TOT,1270,1290,MID
,,95715,0,0,-1,1,0,3,4.5,4.0,1,4.0,392,False,,,69,95715.jpg,3.5,2.0,a,17,6,14,9886,23209,0.6,2.0,Lucas Moura,273,1,0,1,2,0,0,0,0,0,0,1,27,42.2,29.0,117.0,18.8,167,70,125,80,27,11,56,33,5.0,,,,,,4.615384615384615,0.5072463768115941,0.21739130434782608,4,TOT,1270,1290,MID
,,108823,0,0,-4,4,0,3,0.8,0.3,1,0.3,394,False,,,76,108823.jpg,1.0,0.7,a,17,6,2,1487,7451,0.0,0.3,Alli,66,0,0,0,0,0,0,0,0,0,0,0,8,9.4,13.7,25.0,4.8,292,124,199,117,152,81,256,120,,,,,3.0,,2.7272727272727275,0.13157894736842105,-0.13157894736842105,4,TOT,1270,1290,MID
,,132015,0,0,-1,1,0,3,3.5,3.0,5,3.0,396,False,,,49,132015.jpg,2.5,0.8,a,17,6,10,8870,7439,0.6,2.0,Højbjerg,360,0,1,0,5,0,0,0,1,0,0,0,64,77.0,61.7,9.0,14.8,72,27,47,35,210,108,92,52,,,,,,,2.5,0.5102040816326531,0.1020408163265306,4,TOT,1270,1290,MID
,,157668,-1,1,-1,1,0,3,1.5,1.0,0,1.0,397,False,,,54,157668.jpg,1.3,0.2,a,17,6,4,346,1405,0.2,0.7,Winks,239,0,0,0,4,0,0,0,1,0,0,0,34,34.0,20.2,0.0,5.4,208,86,164,99,531,214,238,109,,,,,,,1.5062761506276148,0.24074074074074076,-0.12962962962962962,4,TOT,1270,1290,MID
75.0,,194252,0,0,-3,3,0,3,0.9,0.7,0,0.7,400,False,Knock - 75% chance of playing,2020-10-05 18:00:15.038315,72,194252.jpg,1.0,0.5,d,17,6,3,682,7792,0.1,0.4,Bergwijn,81,0,0,0,2,0,0,0,0,0,0,0,8,11.4,33.2,19.0,6.4,283,117,109,73,178,98,222,104,4.0,,,,,,3.333333333333333,0.1388888888888889,-0.1388888888888889,4,TOT,1270,1290,MID
,,195774,0,0,-1,1,0,3,0.5,0.0,0,0.0,401,False,,,49,195774.jpg,0.0,0.1,a,17,6,0,194,598,0.0,0.0,Fernandes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,506,200,498,201,477,187,510,200,,,,,,,,0.0,-0.4081632653061224,4,TOT,1270,1290,MID
